question=['athens' 'greece' 'bern' 'switzerland'], predicted=romania
question=['athens' 'greece' 'hanoi' 'vietnam'], predicted=laos
question=['athens' 'greece' 'london' 'england'], predicted=britain
question=['baghdad' 'iraq' 'bangkok' 'thailand'], predicted=bahrain
question=['baghdad' 'iraq' 'beijing' 'china'], predicted=korea
question=['baghdad' 'iraq' 'bern' 'switzerland'], predicted=denmark
question=['baghdad' 'iraq' 'cairo' 'egypt'], predicted=libya
question=['baghdad' 'iraq' 'islamabad' 'pakistan'], predicted=kuwait
question=['baghdad' 'iraq' 'london' 'england'], predicted=uk
question=['baghdad' 'iraq' 'oslo' 'norway'], predicted=accords
question=['bangkok' 'thailand' 'hanoi' 'vietnam'], predicted=laos
question=['bangkok' 'thailand' 'baghdad' 'iraq'], predicted=iran
question=['beijing' 'china' 'london' 'england'], predicted=australia
question=['beijing' 'china' 'tehran' 'iran'], predicted=russia
question=['beijing' 'china' 'baghdad' 'iraq'], predicted=persia
question=['berlin' 'germany' 'bern' 'switzerland'], predicted=france
question=['berlin' 'germany' 'hanoi' 'vietnam'], predicted=france
question=['berlin' 'germany' 'baghdad' 'iraq'], predicted=iran
question=['berlin' 'germany' 'bangkok' 'thailand'], predicted=airlines
question=['bern' 'switzerland' 'hanoi' 'vietnam'], predicted=china
question=['bern' 'switzerland' 'islamabad' 'pakistan'], predicted=saudi
question=['bern' 'switzerland' 'london' 'england'], predicted=uk
question=['bern' 'switzerland' 'oslo' 'norway'], predicted=tunisia
question=['bern' 'switzerland' 'baghdad' 'iraq'], predicted=iran
question=['cairo' 'egypt' 'hanoi' 'vietnam'], predicted=china
question=['cairo' 'egypt' 'oslo' 'norway'], predicted=accords
question=['cairo' 'egypt' 'rome' 'italy'], predicted=romans
question=['cairo' 'egypt' 'baghdad' 'iraq'], predicted=iran
question=['cairo' 'egypt' 'bern' 'switzerland'], predicted=netherlands
question=['canberra' 'australia' 'hanoi' 'vietnam'], predicted=china
question=['canberra' 'australia' 'tehran' 'iran'], predicted=japan
question=['canberra' 'australia' 'baghdad' 'iraq'], predicted=syria
question=['canberra' 'australia' 'bangkok' 'thailand'], predicted=japan
question=['hanoi' 'vietnam' 'baghdad' 'iraq'], predicted=iran
question=['havana' 'cuba' 'london' 'england'], predicted=moscow
question=['havana' 'cuba' 'oslo' 'norway'], predicted=accords
question=['havana' 'cuba' 'hanoi' 'vietnam'], predicted=philippines
question=['helsinki' 'finland' 'london' 'england'], predicted=britain
question=['helsinki' 'finland' 'ottawa' 'canada'], predicted=france
question=['helsinki' 'finland' 'tehran' 'iran'], predicted=russia
question=['helsinki' 'finland' 'baghdad' 'iraq'], predicted=iran
question=['helsinki' 'finland' 'bern' 'switzerland'], predicted=austria
question=['islamabad' 'pakistan' 'ottawa' 'canada'], predicted=winnipeg
question=['islamabad' 'pakistan' 'baghdad' 'iraq'], predicted=afghanistan
question=['islamabad' 'pakistan' 'hanoi' 'vietnam'], predicted=philippines
question=['kabul' 'afghanistan' 'london' 'england'], predicted=uk
question=['kabul' 'afghanistan' 'oslo' 'norway'], predicted=accords
question=['kabul' 'afghanistan' 'islamabad' 'pakistan'], predicted=kuwait
question=['london' 'england' 'ottawa' 'canada'], predicted=scotia
question=['london' 'england' 'rome' 'italy'], predicted=roman
question=['london' 'england' 'tehran' 'iran'], predicted=france
question=['london' 'england' 'baghdad' 'iraq'], predicted=muslim
question=['london' 'england' 'bangkok' 'thailand'], predicted=afonso
question=['london' 'england' 'bern' 'switzerland'], predicted=france
question=['london' 'england' 'hanoi' 'vietnam'], predicted=france
question=['london' 'england' 'islamabad' 'pakistan'], predicted=faisal
question=['madrid' 'spain' 'tehran' 'iran'], predicted=russia
question=['madrid' 'spain' 'islamabad' 'pakistan'], predicted=arabia
question=['moscow' 'russia' 'baghdad' 'iraq'], predicted=iran
question=['moscow' 'russia' 'bangkok' 'thailand'], predicted=southeast
question=['moscow' 'russia' 'islamabad' 'pakistan'], predicted=saudi
question=['oslo' 'norway' 'tehran' 'iran'], predicted=russia
question=['oslo' 'norway' 'baghdad' 'iraq'], predicted=afghanistan
question=['oslo' 'norway' 'bern' 'switzerland'], predicted=netherlands
question=['oslo' 'norway' 'hanoi' 'vietnam'], predicted=china
question=['ottawa' 'canada' 'tehran' 'iran'], predicted=japan
question=['ottawa' 'canada' 'baghdad' 'iraq'], predicted=iran
question=['ottawa' 'canada' 'bangkok' 'thailand'], predicted=singapore
question=['ottawa' 'canada' 'hanoi' 'vietnam'], predicted=china
question=['ottawa' 'canada' 'london' 'england'], predicted=uk
question=['paris' 'france' 'bern' 'switzerland'], predicted=austria
question=['rome' 'italy' 'baghdad' 'iraq'], predicted=iran
question=['rome' 'italy' 'hanoi' 'vietnam'], predicted=japan
question=['rome' 'italy' 'london' 'england'], predicted=uk
question=['stockholm' 'sweden' 'bern' 'switzerland'], predicted=france
question=['stockholm' 'sweden' 'hanoi' 'vietnam'], predicted=france
question=['stockholm' 'sweden' 'ottawa' 'canada'], predicted=ontario
question=['tehran' 'iran' 'bangkok' 'thailand'], predicted=bahrain
question=['tehran' 'iran' 'bern' 'switzerland'], predicted=cantons
question=['tehran' 'iran' 'hanoi' 'vietnam'], predicted=afghanistan
question=['tehran' 'iran' 'london' 'england'], predicted=uk
question=['tehran' 'iran' 'moscow' 'russia'], predicted=afghanistan
question=['tehran' 'iran' 'oslo' 'norway'], predicted=iraq
question=['tehran' 'iran' 'ottawa' 'canada'], predicted=iraq
question=['tokyo' 'japan' 'baghdad' 'iraq'], predicted=iran
question=['tokyo' 'japan' 'bangkok' 'thailand'], predicted=china
question=['tokyo' 'japan' 'hanoi' 'vietnam'], predicted=china
question=['tokyo' 'japan' 'london' 'england'], predicted=uk
