question=['bad' 'worst' 'fast' 'fastest'], predicted=fastest
question=['bad' 'worst' 'good' 'best'], predicted=best
question=['bad' 'worst' 'great' 'greatest'], predicted=greatest
question=['bad' 'worst' 'high' 'highest'], predicted=highest
question=['bad' 'worst' 'long' 'longest'], predicted=longest
question=['bad' 'worst' 'old' 'oldest'], predicted=oldest
question=['bad' 'worst' 'simple' 'simplest'], predicted=simplest
question=['big' 'biggest' 'bright' 'brightest'], predicted=brightest
question=['big' 'biggest' 'fast' 'fastest'], predicted=fastest
question=['big' 'biggest' 'great' 'greatest'], predicted=greatest
question=['big' 'biggest' 'high' 'highest'], predicted=highest
question=['big' 'biggest' 'large' 'largest'], predicted=largest
question=['big' 'biggest' 'long' 'longest'], predicted=longest
question=['big' 'biggest' 'old' 'oldest'], predicted=oldest
question=['big' 'biggest' 'simple' 'simplest'], predicted=simplest
question=['big' 'biggest' 'strong' 'strongest'], predicted=strongest
question=['bright' 'brightest' 'large' 'largest'], predicted=largest
question=['cold' 'coldest' 'great' 'greatest'], predicted=greatest
question=['cold' 'coldest' 'high' 'highest'], predicted=highest
question=['cold' 'coldest' 'simple' 'simplest'], predicted=simplest
question=['cold' 'coldest' 'big' 'biggest'], predicted=biggest
question=['cool' 'coolest' 'high' 'highest'], predicted=highest
question=['cool' 'coolest' 'long' 'longest'], predicted=longest
question=['dark' 'darkest' 'big' 'biggest'], predicted=biggest
question=['easy' 'easiest' 'strong' 'strongest'], predicted=strongest
question=['easy' 'easiest' 'weak' 'weakest'], predicted=weakest
question=['fast' 'fastest' 'high' 'highest'], predicted=highest
question=['fast' 'fastest' 'large' 'largest'], predicted=largest
question=['fast' 'fastest' 'long' 'longest'], predicted=longest
question=['fast' 'fastest' 'old' 'oldest'], predicted=oldest
question=['fast' 'fastest' 'simple' 'simplest'], predicted=simplest
question=['fast' 'fastest' 'strong' 'strongest'], predicted=strongest
question=['fast' 'fastest' 'big' 'biggest'], predicted=biggest
question=['good' 'best' 'great' 'greatest'], predicted=greatest
question=['good' 'best' 'high' 'highest'], predicted=highest
