question=['boy' 'girl' 'brothers' 'sisters'], predicted=sisters
question=['boy' 'girl' 'father' 'mother'], predicted=mother
question=['boy' 'girl' 'groom' 'bride'], predicted=bride
question=['boy' 'girl' 'he' 'she'], predicted=she
question=['boy' 'girl' 'his' 'her'], predicted=her
question=['boy' 'girl' 'husband' 'wife'], predicted=wife
question=['boy' 'girl' 'king' 'queen'], predicted=queen
question=['boy' 'girl' 'man' 'woman'], predicted=woman
question=['boy' 'girl' 'prince' 'princess'], predicted=princess
question=['boy' 'girl' 'son' 'daughter'], predicted=daughter
question=['boy' 'girl' 'sons' 'daughters'], predicted=daughters
question=['boy' 'girl' 'uncle' 'aunt'], predicted=aunt
question=['brother' 'sister' 'brothers' 'sisters'], predicted=sisters
question=['brother' 'sister' 'father' 'mother'], predicted=mother
question=['brother' 'sister' 'grandfather' 'grandmother'], predicted=grandmother
question=['brother' 'sister' 'he' 'she'], predicted=she
question=['brother' 'sister' 'king' 'queen'], predicted=queen
question=['brother' 'sister' 'man' 'woman'], predicted=woman
question=['brother' 'sister' 'prince' 'princess'], predicted=princess
question=['brother' 'sister' 'son' 'daughter'], predicted=daughter
question=['brother' 'sister' 'sons' 'daughters'], predicted=daughters
question=['brother' 'sister' 'uncle' 'aunt'], predicted=aunt
question=['brother' 'sister' 'boy' 'girl'], predicted=girl
question=['brothers' 'sisters' 'father' 'mother'], predicted=mother
question=['brothers' 'sisters' 'he' 'she'], predicted=she
question=['brothers' 'sisters' 'his' 'her'], predicted=her
question=['brothers' 'sisters' 'husband' 'wife'], predicted=wife
question=['brothers' 'sisters' 'king' 'queen'], predicted=queen
question=['brothers' 'sisters' 'man' 'woman'], predicted=woman
question=['brothers' 'sisters' 'prince' 'princess'], predicted=princess
question=['brothers' 'sisters' 'son' 'daughter'], predicted=daughter
question=['brothers' 'sisters' 'sons' 'daughters'], predicted=daughters
question=['brothers' 'sisters' 'boy' 'girl'], predicted=girl
question=['brothers' 'sisters' 'brother' 'sister'], predicted=sister
question=['dad' 'mom' 'grandfather' 'grandmother'], predicted=grandmother
question=['dad' 'mom' 'he' 'she'], predicted=she
question=['dad' 'mom' 'husband' 'wife'], predicted=wife
question=['father' 'mother' 'grandfather' 'grandmother'], predicted=grandmother
question=['father' 'mother' 'he' 'she'], predicted=she
question=['father' 'mother' 'husband' 'wife'], predicted=wife
question=['father' 'mother' 'king' 'queen'], predicted=queen
question=['father' 'mother' 'man' 'woman'], predicted=woman
question=['father' 'mother' 'son' 'daughter'], predicted=daughter
question=['father' 'mother' 'sons' 'daughters'], predicted=daughters
question=['father' 'mother' 'uncle' 'aunt'], predicted=aunt
question=['father' 'mother' 'boy' 'girl'], predicted=girl
question=['father' 'mother' 'brother' 'sister'], predicted=sister
question=['father' 'mother' 'brothers' 'sisters'], predicted=sisters
question=['father' 'mother' 'dad' 'mom'], predicted=mom
question=['grandfather' 'grandmother' 'he' 'she'], predicted=she
question=['grandfather' 'grandmother' 'his' 'her'], predicted=her
question=['grandfather' 'grandmother' 'king' 'queen'], predicted=queen
question=['grandfather' 'grandmother' 'man' 'woman'], predicted=woman
