question=['bad' 'worse' 'big' 'bigger'], predicted=larger
question=['bad' 'worse' 'cold' 'colder'], predicted=warm
question=['bad' 'worse' 'cool' 'cooler'], predicted=colder
question=['bad' 'worse' 'fast' 'faster'], predicted=slower
question=['bad' 'worse' 'great' 'greater'], predicted=considerable
question=['bad' 'worse' 'hot' 'hotter'], predicted=incandescent
question=['bad' 'worse' 'long' 'longer'], predicted=shorter
question=['bad' 'worse' 'loud' 'louder'], predicted=cry
question=['bad' 'worse' 'low' 'lower'], predicted=higher
question=['bad' 'worse' 'new' 'newer'], predicted=more
question=['bad' 'worse' 'quick' 'quicker'], predicted=convenient
question=['bad' 'worse' 'safe' 'safer'], predicted=dispensation
question=['bad' 'worse' 'sharp' 'sharper'], predicted=muted
question=['bad' 'worse' 'simple' 'simpler'], predicted=complicated
question=['bad' 'worse' 'small' 'smaller'], predicted=larger
question=['bad' 'worse' 'smart' 'smarter'], predicted=repairing
question=['bad' 'worse' 'strong' 'stronger'], predicted=nevertheless
question=['bad' 'worse' 'tight' 'tighter'], predicted=relaxed
question=['bad' 'worse' 'tough' 'tougher'], predicted=assertive
question=['bad' 'worse' 'warm' 'warmer'], predicted=colder
question=['bad' 'worse' 'weak' 'weaker'], predicted=stronger
question=['big' 'bigger' 'cold' 'colder'], predicted=warm
question=['big' 'bigger' 'cool' 'cooler'], predicted=dry
question=['big' 'bigger' 'good' 'better'], predicted=worse
question=['big' 'bigger' 'heavy' 'heavier'], predicted=lighter
question=['big' 'bigger' 'loud' 'louder'], predicted=aggressive
question=['big' 'bigger' 'low' 'lower'], predicted=higher
question=['big' 'bigger' 'new' 'newer'], predicted=more
question=['big' 'bigger' 'quick' 'quicker'], predicted=agreeable
question=['big' 'bigger' 'sharp' 'sharper'], predicted=stronger
question=['big' 'bigger' 'short' 'shorter'], predicted=longer
question=['big' 'bigger' 'small' 'smaller'], predicted=larger
question=['big' 'bigger' 'smart' 'smarter'], predicted=taller
question=['big' 'bigger' 'tight' 'tighter'], predicted=relaxed
question=['big' 'bigger' 'tough' 'tougher'], predicted=stronger
question=['big' 'bigger' 'weak' 'weaker'], predicted=stronger
question=['big' 'bigger' 'young' 'younger'], predicted=adults
question=['bright' 'brighter' 'cold' 'colder'], predicted=temperate
question=['bright' 'brighter' 'cool' 'cooler'], predicted=temperate
