question=['certain' 'uncertain' 'clear' 'unclear'], predicted=unclear
question=['certain' 'uncertain' 'rational' 'irrational'], predicted=irrational
question=['clear' 'unclear' 'rational' 'irrational'], predicted=irrational
question=['comfortable' 'uncomfortable' 'fortunate' 'unfortunate'], predicted=unfortunate
question=['comfortable' 'uncomfortable' 'likely' 'unlikely'], predicted=unlikely
question=['comfortable' 'uncomfortable' 'productive' 'unproductive'], predicted=unproductive
question=['comfortable' 'uncomfortable' 'rational' 'irrational'], predicted=irrational
question=['comfortable' 'uncomfortable' 'acceptable' 'unacceptable'], predicted=unacceptable
question=['comfortable' 'uncomfortable' 'aware' 'unaware'], predicted=unaware
question=['competitive' 'uncompetitive' 'rational' 'irrational'], predicted=irrational
question=['competitive' 'uncompetitive' 'aware' 'unaware'], predicted=unaware
question=['consistent' 'inconsistent' 'efficient' 'inefficient'], predicted=inefficient
question=['consistent' 'inconsistent' 'fortunate' 'unfortunate'], predicted=unfortunate
question=['consistent' 'inconsistent' 'likely' 'unlikely'], predicted=unlikely
question=['consistent' 'inconsistent' 'pleasant' 'unpleasant'], predicted=unpleasant
question=['consistent' 'inconsistent' 'rational' 'irrational'], predicted=irrational
question=['convincing' 'unconvincing' 'consistent' 'inconsistent'], predicted=inconsistent
question=['efficient' 'inefficient' 'likely' 'unlikely'], predicted=unlikely
question=['efficient' 'inefficient' 'rational' 'irrational'], predicted=irrational
question=['efficient' 'inefficient' 'acceptable' 'unacceptable'], predicted=unacceptable
question=['efficient' 'inefficient' 'consistent' 'inconsistent'], predicted=inconsistent
question=['ethical' 'unethical' 'likely' 'unlikely'], predicted=unlikely
question=['fortunate' 'unfortunate' 'likely' 'unlikely'], predicted=unlikely
question=['fortunate' 'unfortunate' 'pleasant' 'unpleasant'], predicted=unpleasant
question=['fortunate' 'unfortunate' 'rational' 'irrational'], predicted=irrational
question=['honest' 'dishonest' 'likely' 'unlikely'], predicted=unlikely
question=['known' 'unknown' 'likely' 'unlikely'], predicted=unlikely
question=['likely' 'unlikely' 'possible' 'impossible'], predicted=impossible
question=['likely' 'unlikely' 'consistent' 'inconsistent'], predicted=inconsistent
question=['likely' 'unlikely' 'efficient' 'inefficient'], predicted=inefficient
question=['logical' 'illogical' 'efficient' 'inefficient'], predicted=inefficient
question=['logical' 'illogical' 'likely' 'unlikely'], predicted=unlikely
question=['pleasant' 'unpleasant' 'rational' 'irrational'], predicted=irrational
question=['pleasant' 'unpleasant' 'likely' 'unlikely'], predicted=unlikely
question=['possible' 'impossible' 'rational' 'irrational'], predicted=irrational
question=['possible' 'impossible' 'likely' 'unlikely'], predicted=unlikely
question=['possibly' 'impossibly' 'aware' 'unaware'], predicted=unaware
question=['productive' 'unproductive' 'likely' 'unlikely'], predicted=unlikely
question=['reasonable' 'unreasonable' 'possible' 'impossible'], predicted=impossible
question=['reasonable' 'unreasonable' 'rational' 'irrational'], predicted=irrational
question=['responsible' 'irresponsible' 'likely' 'unlikely'], predicted=unlikely
question=['responsible' 'irresponsible' 'rational' 'irrational'], predicted=irrational
question=['sure' 'unsure' 'clear' 'unclear'], predicted=unclear
question=['sure' 'unsure' 'rational' 'irrational'], predicted=irrational
question=['tasteful' 'distasteful' 'consistent' 'inconsistent'], predicted=inconsistent
question=['tasteful' 'distasteful' 'likely' 'unlikely'], predicted=unlikely
question=['tasteful' 'distasteful' 'rational' 'irrational'], predicted=irrational
