question=['chicago' 'illinois' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['chicago' 'illinois' 'phoenix' 'arizona'], predicted=arizona
question=['chicago' 'illinois' 'detroit' 'michigan'], predicted=michigan
question=['chicago' 'illinois' 'memphis' 'tennessee'], predicted=tennessee
question=['chicago' 'illinois' 'boston' 'massachusetts'], predicted=massachusetts
question=['chicago' 'illinois' 'seattle' 'washington'], predicted=washington
question=['chicago' 'illinois' 'denver' 'colorado'], predicted=colorado
question=['chicago' 'illinois' 'baltimore' 'maryland'], predicted=maryland
question=['chicago' 'illinois' 'nashville' 'tennessee'], predicted=tennessee
question=['chicago' 'illinois' 'louisville' 'kentucky'], predicted=kentucky
question=['chicago' 'illinois' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['chicago' 'illinois' 'portland' 'oregon'], predicted=oregon
question=['chicago' 'illinois' 'atlanta' 'georgia'], predicted=georgia
question=['chicago' 'illinois' 'omaha' 'nebraska'], predicted=nebraska
question=['chicago' 'illinois' 'miami' 'florida'], predicted=florida
question=['chicago' 'illinois' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['chicago' 'illinois' 'cleveland' 'ohio'], predicted=ohio
question=['chicago' 'illinois' 'minneapolis' 'minnesota'], predicted=minnesota
question=['chicago' 'illinois' 'tampa' 'florida'], predicted=florida
question=['chicago' 'illinois' 'honolulu' 'hawaii'], predicted=hawaii
question=['chicago' 'illinois' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['chicago' 'illinois' 'cincinnati' 'ohio'], predicted=ohio
question=['chicago' 'illinois' 'anchorage' 'alaska'], predicted=alaska
question=['houston' 'texas' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['houston' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['houston' 'texas' 'boston' 'massachusetts'], predicted=massachusetts
question=['houston' 'texas' 'seattle' 'washington'], predicted=washington
question=['houston' 'texas' 'denver' 'colorado'], predicted=colorado
question=['houston' 'texas' 'baltimore' 'maryland'], predicted=maryland
question=['houston' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['houston' 'texas' 'louisville' 'kentucky'], predicted=kentucky
question=['houston' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['houston' 'texas' 'portland' 'oregon'], predicted=oregon
question=['houston' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['houston' 'texas' 'fresno' 'california'], predicted=california
question=['houston' 'texas' 'sacramento' 'california'], predicted=california
question=['houston' 'texas' 'atlanta' 'georgia'], predicted=georgia
question=['houston' 'texas' 'omaha' 'nebraska'], predicted=nebraska
question=['houston' 'texas' 'miami' 'florida'], predicted=florida
question=['houston' 'texas' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['houston' 'texas' 'oakland' 'california'], predicted=california
question=['houston' 'texas' 'cleveland' 'ohio'], predicted=ohio
question=['houston' 'texas' 'minneapolis' 'minnesota'], predicted=minnesota
question=['houston' 'texas' 'anaheim' 'california'], predicted=california
question=['houston' 'texas' 'honolulu' 'hawaii'], predicted=hawaii
question=['houston' 'texas' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['houston' 'texas' 'stockton' 'california'], predicted=california
question=['houston' 'texas' 'cincinnati' 'ohio'], predicted=ohio
question=['houston' 'texas' 'anchorage' 'alaska'], predicted=alaska
question=['philadelphia' 'pennsylvania' 'phoenix' 'arizona'], predicted=arizona
question=['philadelphia' 'pennsylvania' 'dallas' 'texas'], predicted=texas
question=['philadelphia' 'pennsylvania' 'jacksonville' 'florida'], predicted=florida
question=['philadelphia' 'pennsylvania' 'indianapolis' 'indiana'], predicted=indiana
question=['philadelphia' 'pennsylvania' 'detroit' 'michigan'], predicted=michigan
question=['philadelphia' 'pennsylvania' 'memphis' 'tennessee'], predicted=tennessee
question=['philadelphia' 'pennsylvania' 'boston' 'massachusetts'], predicted=massachusetts
question=['philadelphia' 'pennsylvania' 'seattle' 'washington'], predicted=washington
question=['philadelphia' 'pennsylvania' 'denver' 'colorado'], predicted=colorado
question=['philadelphia' 'pennsylvania' 'baltimore' 'maryland'], predicted=maryland
question=['philadelphia' 'pennsylvania' 'nashville' 'tennessee'], predicted=tennessee
question=['philadelphia' 'pennsylvania' 'louisville' 'kentucky'], predicted=kentucky
question=['philadelphia' 'pennsylvania' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['philadelphia' 'pennsylvania' 'portland' 'oregon'], predicted=oregon
question=['philadelphia' 'pennsylvania' 'atlanta' 'georgia'], predicted=georgia
question=['philadelphia' 'pennsylvania' 'omaha' 'nebraska'], predicted=nebraska
question=['philadelphia' 'pennsylvania' 'miami' 'florida'], predicted=florida
question=['philadelphia' 'pennsylvania' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['philadelphia' 'pennsylvania' 'cleveland' 'ohio'], predicted=ohio
