question=['decrease' 'decreases' 'eat' 'eats'], predicted=eats
question=['decrease' 'decreases' 'estimate' 'estimates'], predicted=estimates
question=['decrease' 'decreases' 'find' 'finds'], predicted=finds
question=['decrease' 'decreases' 'generate' 'generates'], predicted=generates
question=['decrease' 'decreases' 'go' 'goes'], predicted=goes
question=['decrease' 'decreases' 'increase' 'increases'], predicted=increases
question=['decrease' 'decreases' 'provide' 'provides'], predicted=provides
question=['decrease' 'decreases' 'say' 'says'], predicted=says
question=['decrease' 'decreases' 'search' 'searches'], predicted=searches
question=['decrease' 'decreases' 'work' 'works'], predicted=works
question=['describe' 'describes' 'estimate' 'estimates'], predicted=estimates
question=['describe' 'describes' 'generate' 'generates'], predicted=generates
question=['describe' 'describes' 'go' 'goes'], predicted=goes
question=['describe' 'describes' 'provide' 'provides'], predicted=provides
question=['describe' 'describes' 'say' 'says'], predicted=says
question=['describe' 'describes' 'sing' 'sings'], predicted=sings
question=['describe' 'describes' 'sit' 'sits'], predicted=sits
question=['describe' 'describes' 'speak' 'speaks'], predicted=speaks
question=['describe' 'describes' 'work' 'works'], predicted=works
question=['eat' 'eats' 'generate' 'generates'], predicted=generates
question=['eat' 'eats' 'go' 'goes'], predicted=goes
question=['eat' 'eats' 'say' 'says'], predicted=says
question=['eat' 'eats' 'search' 'searches'], predicted=searches
question=['eat' 'eats' 'sit' 'sits'], predicted=sits
question=['eat' 'eats' 'speak' 'speaks'], predicted=speaks
question=['enhance' 'enhances' 'play' 'plays'], predicted=plays
question=['enhance' 'enhances' 'provide' 'provides'], predicted=provides
question=['enhance' 'enhances' 'work' 'works'], predicted=works
question=['enhance' 'enhances' 'decrease' 'decreases'], predicted=decreases
question=['enhance' 'enhances' 'eat' 'eats'], predicted=eats
question=['estimate' 'estimates' 'work' 'works'], predicted=works
question=['find' 'finds' 'go' 'goes'], predicted=goes
question=['find' 'finds' 'play' 'plays'], predicted=plays
question=['find' 'finds' 'provide' 'provides'], predicted=provides
question=['find' 'finds' 'say' 'says'], predicted=says
question=['find' 'finds' 'search' 'searches'], predicted=searches
question=['find' 'finds' 'sing' 'sings'], predicted=sings
question=['find' 'finds' 'speak' 'speaks'], predicted=speaks
question=['find' 'finds' 'think' 'thinks'], predicted=thinks
question=['find' 'finds' 'write' 'writes'], predicted=writes
question=['find' 'finds' 'describe' 'describes'], predicted=describes
question=['find' 'finds' 'eat' 'eats'], predicted=eats
question=['find' 'finds' 'estimate' 'estimates'], predicted=estimates
question=['generate' 'generates' 'play' 'plays'], predicted=plays
question=['generate' 'generates' 'provide' 'provides'], predicted=provides
question=['generate' 'generates' 'say' 'says'], predicted=says
question=['generate' 'generates' 'search' 'searches'], predicted=searches
question=['generate' 'generates' 'sing' 'sings'], predicted=sings
question=['generate' 'generates' 'sit' 'sits'], predicted=sits
question=['generate' 'generates' 'work' 'works'], predicted=works
question=['generate' 'generates' 'describe' 'describes'], predicted=describes
question=['go' 'goes' 'increase' 'increases'], predicted=increases
question=['go' 'goes' 'play' 'plays'], predicted=plays
question=['go' 'goes' 'provide' 'provides'], predicted=provides
question=['go' 'goes' 'say' 'says'], predicted=says
question=['go' 'goes' 'sit' 'sits'], predicted=sits
question=['go' 'goes' 'speak' 'speaks'], predicted=speaks
question=['go' 'goes' 'work' 'works'], predicted=works
question=['go' 'goes' 'describe' 'describes'], predicted=describes
question=['go' 'goes' 'eat' 'eats'], predicted=eats
question=['go' 'goes' 'find' 'finds'], predicted=finds
question=['implement' 'implements' 'say' 'says'], predicted=says
question=['implement' 'implements' 'search' 'searches'], predicted=searches
question=['implement' 'implements' 'estimate' 'estimates'], predicted=estimates
question=['increase' 'increases' 'play' 'plays'], predicted=plays
question=['increase' 'increases' 'provide' 'provides'], predicted=provides
question=['increase' 'increases' 'say' 'says'], predicted=says
question=['increase' 'increases' 'search' 'searches'], predicted=searches
question=['increase' 'increases' 'sit' 'sits'], predicted=sits
question=['increase' 'increases' 'decrease' 'decreases'], predicted=decreases
question=['increase' 'increases' 'estimate' 'estimates'], predicted=estimates
question=['increase' 'increases' 'generate' 'generates'], predicted=generates
question=['increase' 'increases' 'go' 'goes'], predicted=goes
question=['listen' 'listens' 'provide' 'provides'], predicted=provides
question=['listen' 'listens' 'say' 'says'], predicted=says
question=['listen' 'listens' 'sit' 'sits'], predicted=sits
question=['listen' 'listens' 'work' 'works'], predicted=works
question=['listen' 'listens' 'estimate' 'estimates'], predicted=estimates
question=['listen' 'listens' 'find' 'finds'], predicted=finds
question=['listen' 'listens' 'go' 'goes'], predicted=goes
question=['play' 'plays' 'provide' 'provides'], predicted=provides
question=['play' 'plays' 'say' 'says'], predicted=says
question=['play' 'plays' 'sing' 'sings'], predicted=sings
question=['play' 'plays' 'sit' 'sits'], predicted=sits
question=['play' 'plays' 'speak' 'speaks'], predicted=speaks
question=['play' 'plays' 'work' 'works'], predicted=works
question=['play' 'plays' 'describe' 'describes'], predicted=describes
question=['play' 'plays' 'eat' 'eats'], predicted=eats
question=['play' 'plays' 'estimate' 'estimates'], predicted=estimates
question=['play' 'plays' 'find' 'finds'], predicted=finds
question=['play' 'plays' 'generate' 'generates'], predicted=generates
question=['play' 'plays' 'go' 'goes'], predicted=goes
question=['predict' 'predicts' 'sit' 'sits'], predicted=sits
question=['predict' 'predicts' 'estimate' 'estimates'], predicted=estimates
question=['predict' 'predicts' 'generate' 'generates'], predicted=generates
question=['predict' 'predicts' 'go' 'goes'], predicted=goes
question=['provide' 'provides' 'say' 'says'], predicted=says
question=['provide' 'provides' 'search' 'searches'], predicted=searches
question=['provide' 'provides' 'sing' 'sings'], predicted=sings
question=['provide' 'provides' 'sit' 'sits'], predicted=sits
question=['provide' 'provides' 'speak' 'speaks'], predicted=speaks
question=['provide' 'provides' 'work' 'works'], predicted=works
question=['provide' 'provides' 'describe' 'describes'], predicted=describes
question=['provide' 'provides' 'eat' 'eats'], predicted=eats
question=['provide' 'provides' 'generate' 'generates'], predicted=generates
question=['provide' 'provides' 'go' 'goes'], predicted=goes
question=['provide' 'provides' 'increase' 'increases'], predicted=increases
question=['provide' 'provides' 'play' 'plays'], predicted=plays
question=['say' 'says' 'search' 'searches'], predicted=searches
question=['say' 'says' 'sit' 'sits'], predicted=sits
question=['say' 'says' 'speak' 'speaks'], predicted=speaks
question=['say' 'says' 'work' 'works'], predicted=works
question=['say' 'says' 'describe' 'describes'], predicted=describes
question=['say' 'says' 'eat' 'eats'], predicted=eats
question=['say' 'says' 'go' 'goes'], predicted=goes
question=['say' 'says' 'increase' 'increases'], predicted=increases
question=['say' 'says' 'provide' 'provides'], predicted=provides
question=['scream' 'screams' 'search' 'searches'], predicted=searches
question=['scream' 'screams' 'sing' 'sings'], predicted=sings
question=['scream' 'screams' 'estimate' 'estimates'], predicted=estimates
question=['scream' 'screams' 'play' 'plays'], predicted=plays
question=['search' 'searches' 'estimate' 'estimates'], predicted=estimates
question=['search' 'searches' 'generate' 'generates'], predicted=generates
question=['search' 'searches' 'increase' 'increases'], predicted=increases
question=['see' 'sees' 'sit' 'sits'], predicted=sits
question=['see' 'sees' 'speak' 'speaks'], predicted=speaks
question=['see' 'sees' 'eat' 'eats'], predicted=eats
question=['see' 'sees' 'estimate' 'estimates'], predicted=estimates
question=['see' 'sees' 'play' 'plays'], predicted=plays
question=['see' 'sees' 'search' 'searches'], predicted=searches
question=['shuffle' 'shuffles' 'work' 'works'], predicted=works
question=['shuffle' 'shuffles' 'increase' 'increases'], predicted=increases
question=['shuffle' 'shuffles' 'play' 'plays'], predicted=plays
question=['sing' 'sings' 'speak' 'speaks'], predicted=speaks
question=['sing' 'sings' 'work' 'works'], predicted=works
question=['sing' 'sings' 'describe' 'describes'], predicted=describes
question=['sing' 'sings' 'find' 'finds'], predicted=finds
question=['sing' 'sings' 'play' 'plays'], predicted=plays
question=['sing' 'sings' 'provide' 'provides'], predicted=provides
question=['sing' 'sings' 'say' 'says'], predicted=says
question=['sit' 'sits' 'work' 'works'], predicted=works
question=['sit' 'sits' 'generate' 'generates'], predicted=generates
question=['sit' 'sits' 'go' 'goes'], predicted=goes
question=['sit' 'sits' 'increase' 'increases'], predicted=increases
question=['sit' 'sits' 'provide' 'provides'], predicted=provides
question=['sit' 'sits' 'say' 'says'], predicted=says
question=['slow' 'slows' 'eat' 'eats'], predicted=eats
question=['slow' 'slows' 'estimate' 'estimates'], predicted=estimates
question=['slow' 'slows' 'go' 'goes'], predicted=goes
question=['slow' 'slows' 'provide' 'provides'], predicted=provides
question=['slow' 'slows' 'say' 'says'], predicted=says
question=['slow' 'slows' 'search' 'searches'], predicted=searches
question=['speak' 'speaks' 'write' 'writes'], predicted=writes
question=['speak' 'speaks' 'describe' 'describes'], predicted=describes
question=['speak' 'speaks' 'eat' 'eats'], predicted=eats
question=['speak' 'speaks' 'estimate' 'estimates'], predicted=estimates
question=['speak' 'speaks' 'find' 'finds'], predicted=finds
question=['speak' 'speaks' 'go' 'goes'], predicted=goes
question=['speak' 'speaks' 'increase' 'increases'], predicted=increases
question=['speak' 'speaks' 'play' 'plays'], predicted=plays
question=['speak' 'speaks' 'provide' 'provides'], predicted=provides
question=['speak' 'speaks' 'say' 'says'], predicted=says
question=['speak' 'speaks' 'search' 'searches'], predicted=searches
question=['speak' 'speaks' 'sing' 'sings'], predicted=sings
question=['speak' 'speaks' 'sit' 'sits'], predicted=sits
question=['swim' 'swims' 'estimate' 'estimates'], predicted=estimates
question=['swim' 'swims' 'play' 'plays'], predicted=plays
question=['talk' 'talks' 'estimate' 'estimates'], predicted=estimates
question=['think' 'thinks' 'estimate' 'estimates'], predicted=estimates
question=['think' 'thinks' 'find' 'finds'], predicted=finds
question=['think' 'thinks' 'go' 'goes'], predicted=goes
question=['think' 'thinks' 'play' 'plays'], predicted=plays
question=['think' 'thinks' 'provide' 'provides'], predicted=provides
question=['think' 'thinks' 'say' 'says'], predicted=says
question=['think' 'thinks' 'sing' 'sings'], predicted=sings
question=['think' 'thinks' 'sit' 'sits'], predicted=sits
question=['think' 'thinks' 'speak' 'speaks'], predicted=speaks
question=['vanish' 'vanishes' 'work' 'works'], predicted=works
question=['vanish' 'vanishes' 'estimate' 'estimates'], predicted=estimates
question=['vanish' 'vanishes' 'generate' 'generates'], predicted=generates
question=['vanish' 'vanishes' 'sing' 'sings'], predicted=sings
question=['walk' 'walks' 'work' 'works'], predicted=works
question=['walk' 'walks' 'estimate' 'estimates'], predicted=estimates
question=['walk' 'walks' 'generate' 'generates'], predicted=generates
question=['walk' 'walks' 'say' 'says'], predicted=says
question=['walk' 'walks' 'search' 'searches'], predicted=searches
question=['work' 'works' 'estimate' 'estimates'], predicted=estimates
question=['work' 'works' 'increase' 'increases'], predicted=increases
