question=['boy' 'girl' 'brother' 'sister'], predicted=wife
question=['boy' 'girl' 'dad' 'mom'], predicted=millionaire
question=['boy' 'girl' 'grandfather' 'grandmother'], predicted=wife
question=['boy' 'girl' 'grandpa' 'grandma'], predicted=degeneres
question=['boy' 'girl' 'grandson' 'granddaughter'], predicted=wife
question=['boy' 'girl' 'nephew' 'niece'], predicted=wife
question=['boy' 'girl' 'stepfather' 'stepmother'], predicted=wife
question=['boy' 'girl' 'stepson' 'stepdaughter'], predicted=widow
question=['brother' 'sister' 'dad' 'mom'], predicted=parent
question=['brother' 'sister' 'grandpa' 'grandma'], predicted=mandrakes
question=['brother' 'sister' 'grandson' 'granddaughter'], predicted=daughter
question=['brother' 'sister' 'groom' 'bride'], predicted=yucca
question=['brother' 'sister' 'his' 'her'], predicted=s
question=['brother' 'sister' 'husband' 'wife'], predicted=mother
question=['brother' 'sister' 'nephew' 'niece'], predicted=daughter
question=['brother' 'sister' 'stepfather' 'stepmother'], predicted=nieces
question=['brother' 'sister' 'stepson' 'stepdaughter'], predicted=chromatids
question=['brothers' 'sisters' 'dad' 'mom'], predicted=perky
question=['brothers' 'sisters' 'grandfather' 'grandmother'], predicted=mother
question=['brothers' 'sisters' 'grandpa' 'grandma'], predicted=perky
question=['brothers' 'sisters' 'grandson' 'granddaughter'], predicted=daughter
question=['brothers' 'sisters' 'groom' 'bride'], predicted=semipalatinsk
question=['brothers' 'sisters' 'nephew' 'niece'], predicted=wife
question=['brothers' 'sisters' 'stepfather' 'stepmother'], predicted=perky
question=['brothers' 'sisters' 'stepson' 'stepdaughter'], predicted=drusilla
question=['brothers' 'sisters' 'uncle' 'aunt'], predicted=mother
question=['dad' 'mom' 'father' 'mother'], predicted=son
question=['dad' 'mom' 'grandpa' 'grandma'], predicted=kenny
question=['dad' 'mom' 'grandson' 'granddaughter'], predicted=son
question=['dad' 'mom' 'groom' 'bride'], predicted=atf
question=['dad' 'mom' 'his' 'her'], predicted=s
question=['dad' 'mom' 'king' 'queen'], predicted=henry
question=['dad' 'mom' 'man' 'woman'], predicted=person
question=['dad' 'mom' 'nephew' 'niece'], predicted=grandson
question=['dad' 'mom' 'prince' 'princess'], predicted=duke
question=['dad' 'mom' 'son' 'daughter'], predicted=grandson
question=['dad' 'mom' 'sons' 'daughters'], predicted=son
question=['dad' 'mom' 'stepfather' 'stepmother'], predicted=gladiator
question=['dad' 'mom' 'stepson' 'stepdaughter'], predicted=caesar
question=['dad' 'mom' 'uncle' 'aunt'], predicted=nephew
question=['dad' 'mom' 'boy' 'girl'], predicted=nintendo
question=['dad' 'mom' 'brother' 'sister'], predicted=son
question=['dad' 'mom' 'brothers' 'sisters'], predicted=parker
question=['father' 'mother' 'grandpa' 'grandma'], predicted=reprising
