question=['bad' 'worse' 'big' 'bigger'], predicted=bigger
question=['bad' 'worse' 'cheap' 'cheaper'], predicted=cheaper
question=['bad' 'worse' 'easy' 'easier'], predicted=easier
question=['bad' 'worse' 'fast' 'faster'], predicted=faster
question=['bad' 'worse' 'good' 'better'], predicted=better
question=['bad' 'worse' 'hard' 'harder'], predicted=harder
question=['bad' 'worse' 'high' 'higher'], predicted=higher
question=['bad' 'worse' 'large' 'larger'], predicted=larger
question=['bad' 'worse' 'long' 'longer'], predicted=longer
question=['bad' 'worse' 'old' 'older'], predicted=older
question=['bad' 'worse' 'slow' 'slower'], predicted=slower
question=['bad' 'worse' 'small' 'smaller'], predicted=smaller
question=['bad' 'worse' 'strong' 'stronger'], predicted=stronger
question=['bad' 'worse' 'wide' 'wider'], predicted=wider
question=['bad' 'worse' 'young' 'younger'], predicted=younger
question=['big' 'bigger' 'bright' 'brighter'], predicted=brighter
question=['big' 'bigger' 'cheap' 'cheaper'], predicted=cheaper
question=['big' 'bigger' 'deep' 'deeper'], predicted=deeper
question=['big' 'bigger' 'easy' 'easier'], predicted=easier
question=['big' 'bigger' 'great' 'greater'], predicted=greater
question=['big' 'bigger' 'hard' 'harder'], predicted=harder
question=['big' 'bigger' 'heavy' 'heavier'], predicted=heavier
question=['big' 'bigger' 'high' 'higher'], predicted=higher
question=['big' 'bigger' 'large' 'larger'], predicted=larger
question=['big' 'bigger' 'long' 'longer'], predicted=longer
question=['big' 'bigger' 'old' 'older'], predicted=older
question=['big' 'bigger' 'safe' 'safer'], predicted=safer
question=['big' 'bigger' 'slow' 'slower'], predicted=slower
question=['big' 'bigger' 'strong' 'stronger'], predicted=stronger
question=['big' 'bigger' 'tall' 'taller'], predicted=taller
question=['big' 'bigger' 'wide' 'wider'], predicted=wider
question=['big' 'bigger' 'bad' 'worse'], predicted=worse
question=['bright' 'brighter' 'deep' 'deeper'], predicted=deeper
question=['bright' 'brighter' 'easy' 'easier'], predicted=easier
question=['bright' 'brighter' 'great' 'greater'], predicted=greater
question=['bright' 'brighter' 'high' 'higher'], predicted=higher
question=['bright' 'brighter' 'large' 'larger'], predicted=larger
question=['bright' 'brighter' 'long' 'longer'], predicted=longer
question=['bright' 'brighter' 'old' 'older'], predicted=older
question=['bright' 'brighter' 'safe' 'safer'], predicted=safer
question=['bright' 'brighter' 'simple' 'simpler'], predicted=simpler
question=['bright' 'brighter' 'slow' 'slower'], predicted=slower
question=['bright' 'brighter' 'small' 'smaller'], predicted=smaller
question=['bright' 'brighter' 'smart' 'smarter'], predicted=smarter
question=['bright' 'brighter' 'warm' 'warmer'], predicted=warmer
question=['bright' 'brighter' 'wide' 'wider'], predicted=wider
question=['bright' 'brighter' 'young' 'younger'], predicted=younger
question=['bright' 'brighter' 'big' 'bigger'], predicted=bigger
question=['cheap' 'cheaper' 'cool' 'cooler'], predicted=cooler
question=['cheap' 'cheaper' 'deep' 'deeper'], predicted=deeper
question=['cheap' 'cheaper' 'easy' 'easier'], predicted=easier
question=['cheap' 'cheaper' 'fast' 'faster'], predicted=faster
question=['cheap' 'cheaper' 'hard' 'harder'], predicted=harder
question=['cheap' 'cheaper' 'high' 'higher'], predicted=higher
question=['cheap' 'cheaper' 'large' 'larger'], predicted=larger
question=['cheap' 'cheaper' 'old' 'older'], predicted=older
question=['cheap' 'cheaper' 'short' 'shorter'], predicted=shorter
question=['cheap' 'cheaper' 'simple' 'simpler'], predicted=simpler
question=['cheap' 'cheaper' 'small' 'smaller'], predicted=smaller
question=['cheap' 'cheaper' 'strong' 'stronger'], predicted=stronger
question=['cheap' 'cheaper' 'tall' 'taller'], predicted=taller
question=['cheap' 'cheaper' 'wide' 'wider'], predicted=wider
question=['cheap' 'cheaper' 'young' 'younger'], predicted=younger
question=['cheap' 'cheaper' 'bad' 'worse'], predicted=worse
question=['cold' 'colder' 'cool' 'cooler'], predicted=cooler
question=['cold' 'colder' 'deep' 'deeper'], predicted=deeper
question=['cold' 'colder' 'easy' 'easier'], predicted=easier
question=['cold' 'colder' 'fast' 'faster'], predicted=faster
question=['cold' 'colder' 'great' 'greater'], predicted=greater
question=['cold' 'colder' 'hard' 'harder'], predicted=harder
question=['cold' 'colder' 'high' 'higher'], predicted=higher
question=['cold' 'colder' 'hot' 'hotter'], predicted=hotter
question=['cold' 'colder' 'large' 'larger'], predicted=larger
question=['cold' 'colder' 'long' 'longer'], predicted=longer
question=['cold' 'colder' 'old' 'older'], predicted=older
question=['cold' 'colder' 'short' 'shorter'], predicted=shorter
question=['cold' 'colder' 'simple' 'simpler'], predicted=simpler
question=['cold' 'colder' 'slow' 'slower'], predicted=slower
question=['cold' 'colder' 'small' 'smaller'], predicted=smaller
question=['cold' 'colder' 'tall' 'taller'], predicted=taller
question=['cold' 'colder' 'weak' 'weaker'], predicted=weaker
question=['cold' 'colder' 'wide' 'wider'], predicted=wider
question=['cold' 'colder' 'young' 'younger'], predicted=younger
question=['cold' 'colder' 'big' 'bigger'], predicted=bigger
question=['cold' 'colder' 'bright' 'brighter'], predicted=brighter
question=['cold' 'colder' 'cheap' 'cheaper'], predicted=cheaper
question=['cool' 'cooler' 'easy' 'easier'], predicted=easier
question=['cool' 'cooler' 'great' 'greater'], predicted=greater
question=['cool' 'cooler' 'high' 'higher'], predicted=higher
question=['cool' 'cooler' 'slow' 'slower'], predicted=slower
question=['cool' 'cooler' 'warm' 'warmer'], predicted=warmer
question=['cool' 'cooler' 'weak' 'weaker'], predicted=weaker
question=['cool' 'cooler' 'bright' 'brighter'], predicted=brighter
question=['deep' 'deeper' 'easy' 'easier'], predicted=easier
