question=['bad' 'worst' 'big' 'biggest'], predicted=bang
question=['bad' 'worst' 'bright' 'brightest'], predicted=colors
question=['bad' 'worst' 'cold' 'coldest'], predicted=drying
question=['bad' 'worst' 'cool' 'coolest'], predicted=wet
question=['bad' 'worst' 'dark' 'darkest'], predicted=matter
question=['bad' 'worst' 'easy' 'easiest'], predicted=easier
question=['bad' 'worst' 'hot' 'hottest'], predicted=cardamom
question=['bad' 'worst' 'large' 'largest'], predicted=vast
question=['bad' 'worst' 'low' 'lowest'], predicted=high
question=['bad' 'worst' 'lucky' 'luckiest'], predicted=rockne
question=['bad' 'worst' 'quick' 'quickest'], predicted=captaincy
question=['bad' 'worst' 'sharp' 'sharpest'], predicted=robins
question=['bad' 'worst' 'short' 'shortest'], predicted=long
question=['bad' 'worst' 'slow' 'slowest'], predicted=fastest
question=['bad' 'worst' 'small' 'smallest'], predicted=large
question=['bad' 'worst' 'smart' 'smartest'], predicted=razzie
question=['bad' 'worst' 'strange' 'strangest'], predicted=razzie
question=['bad' 'worst' 'strong' 'strongest'], predicted=substantial
question=['bad' 'worst' 'sweet' 'sweetest'], predicted=crawfish
question=['bad' 'worst' 'tall' 'tallest'], predicted=slender
question=['bad' 'worst' 'warm' 'warmest'], predicted=humid
question=['bad' 'worst' 'weak' 'weakest'], predicted=strong
question=['bad' 'worst' 'wide' 'widest'], predicted=vast
question=['bad' 'worst' 'young' 'youngest'], predicted=razzie
question=['big' 'biggest' 'cold' 'coldest'], predicted=drier
question=['big' 'biggest' 'cool' 'coolest'], predicted=drier
question=['big' 'biggest' 'dark' 'darkest'], predicted=finest
question=['big' 'biggest' 'easy' 'easiest'], predicted=easier
question=['big' 'biggest' 'good' 'best'], predicted=bad
question=['big' 'biggest' 'hot' 'hottest'], predicted=billboard
question=['big' 'biggest' 'low' 'lowest'], predicted=high
question=['big' 'biggest' 'lucky' 'luckiest'], predicted=greatest
question=['big' 'biggest' 'quick' 'quickest'], predicted=latest
question=['big' 'biggest' 'sharp' 'sharpest'], predicted=exporter
question=['big' 'biggest' 'short' 'shortest'], predicted=longest
question=['big' 'biggest' 'slow' 'slowest'], predicted=fastest
question=['big' 'biggest' 'small' 'smallest'], predicted=largest
question=['big' 'biggest' 'smart' 'smartest'], predicted=repairing
question=['big' 'biggest' 'strange' 'strangest'], predicted=likeness
question=['big' 'biggest' 'sweet' 'sweetest'], predicted=carbonated
question=['big' 'biggest' 'tall' 'tallest'], predicted=taller
question=['big' 'biggest' 'warm' 'warmest'], predicted=drier
question=['big' 'biggest' 'weak' 'weakest'], predicted=strong
question=['big' 'biggest' 'wide' 'widest'], predicted=largest
question=['big' 'biggest' 'young' 'youngest'], predicted=children
question=['big' 'biggest' 'bad' 'worst'], predicted=good
question=['bright' 'brightest' 'cold' 'coldest'], predicted=temperate
question=['bright' 'brightest' 'cool' 'coolest'], predicted=temperate
question=['bright' 'brightest' 'dark' 'darkest'], predicted=centauri
question=['bright' 'brightest' 'easy' 'easiest'], predicted=easier
question=['bright' 'brightest' 'fast' 'fastest'], predicted=equinoctial
question=['bright' 'brightest' 'good' 'best'], predicted=bad
question=['bright' 'brightest' 'great' 'greatest'], predicted=considerable
question=['bright' 'brightest' 'high' 'highest'], predicted=low
question=['bright' 'brightest' 'hot' 'hottest'], predicted=temperate
question=['bright' 'brightest' 'long' 'longest'], predicted=short
question=['bright' 'brightest' 'low' 'lowest'], predicted=high
question=['bright' 'brightest' 'lucky' 'luckiest'], predicted=pangolins
question=['bright' 'brightest' 'old' 'oldest'], predicted=capital
question=['bright' 'brightest' 'quick' 'quickest'], predicted=simultaneity
question=['bright' 'brightest' 'sharp' 'sharpest'], predicted=minor
question=['bright' 'brightest' 'simple' 'simplest'], predicted=sort
question=['bright' 'brightest' 'short' 'shortest'], predicted=long
question=['bright' 'brightest' 'slow' 'slowest'], predicted=accelerated
question=['bright' 'brightest' 'small' 'smallest'], predicted=large
question=['bright' 'brightest' 'smart' 'smartest'], predicted=libh
question=['bright' 'brightest' 'strange' 'strangest'], predicted=planetary
question=['bright' 'brightest' 'strong' 'strongest'], predicted=considerable
question=['bright' 'brightest' 'sweet' 'sweetest'], predicted=sunflower
question=['bright' 'brightest' 'tall' 'tallest'], predicted=metres
question=['bright' 'brightest' 'warm' 'warmest'], predicted=temperate
question=['bright' 'brightest' 'weak' 'weakest'], predicted=interaction
question=['bright' 'brightest' 'wide' 'widest'], predicted=range
question=['bright' 'brightest' 'young' 'youngest'], predicted=members
question=['bright' 'brightest' 'bad' 'worst'], predicted=good
question=['bright' 'brightest' 'big' 'biggest'], predicted=bang
question=['cold' 'coldest' 'cool' 'coolest'], predicted=hottest
question=['cold' 'coldest' 'dark' 'darkest'], predicted=centaurus
question=['cold' 'coldest' 'easy' 'easiest'], predicted=easier
question=['cold' 'coldest' 'fast' 'fastest'], predicted=factorization
question=['cold' 'coldest' 'good' 'best'], predicted=sunniest
question=['cold' 'coldest' 'hot' 'hottest'], predicted=temperature
question=['cold' 'coldest' 'large' 'largest'], predicted=small
question=['cold' 'coldest' 'long' 'longest'], predicted=short
question=['cold' 'coldest' 'low' 'lowest'], predicted=highest
question=['cold' 'coldest' 'lucky' 'luckiest'], predicted=cameo
question=['cold' 'coldest' 'old' 'oldest'], predicted=name
question=['cold' 'coldest' 'quick' 'quickest'], predicted=kenai
question=['cold' 'coldest' 'sharp' 'sharpest'], predicted=minor
question=['cold' 'coldest' 'short' 'shortest'], predicted=kilimanjaro
question=['cold' 'coldest' 'slow' 'slowest'], predicted=slower
question=['cold' 'coldest' 'small' 'smallest'], predicted=large
question=['cold' 'coldest' 'smart' 'smartest'], predicted=watchmen
question=['cold' 'coldest' 'strange' 'strangest'], predicted=fantastic
question=['cold' 'coldest' 'strong' 'strongest'], predicted=significant
question=['cold' 'coldest' 'sweet' 'sweetest'], predicted=breadfruit
question=['cold' 'coldest' 'tall' 'tallest'], predicted=feet
question=['cold' 'coldest' 'warm' 'warmest'], predicted=temperature
question=['cold' 'coldest' 'weak' 'weakest'], predicted=weaker
question=['cold' 'coldest' 'wide' 'widest'], predicted=wider
