question=['dancing' 'danced' 'falling' 'fell'], predicted=fell
question=['dancing' 'danced' 'generating' 'generated'], predicted=generated
question=['dancing' 'danced' 'increasing' 'increased'], predicted=increased
question=['dancing' 'danced' 'paying' 'paid'], predicted=paid
question=['dancing' 'danced' 'playing' 'played'], predicted=played
question=['dancing' 'danced' 'selling' 'sold'], predicted=sold
question=['dancing' 'danced' 'taking' 'took'], predicted=took
question=['decreasing' 'decreased' 'falling' 'fell'], predicted=fell
question=['decreasing' 'decreased' 'going' 'went'], predicted=went
question=['decreasing' 'decreased' 'increasing' 'increased'], predicted=increased
question=['decreasing' 'decreased' 'knowing' 'knew'], predicted=knew
question=['decreasing' 'decreased' 'looking' 'looked'], predicted=looked
question=['decreasing' 'decreased' 'paying' 'paid'], predicted=paid
question=['decreasing' 'decreased' 'spending' 'spent'], predicted=spent
question=['describing' 'described' 'hitting' 'hit'], predicted=hit
question=['describing' 'described' 'implementing' 'implemented'], predicted=implemented
question=['describing' 'described' 'increasing' 'increased'], predicted=increased
question=['describing' 'described' 'paying' 'paid'], predicted=paid
question=['describing' 'described' 'playing' 'played'], predicted=played
question=['describing' 'described' 'saying' 'said'], predicted=said
question=['describing' 'described' 'spending' 'spent'], predicted=spent
question=['describing' 'described' 'thinking' 'thought'], predicted=thought
question=['enhancing' 'enhanced' 'falling' 'fell'], predicted=fell
question=['enhancing' 'enhanced' 'increasing' 'increased'], predicted=increased
question=['enhancing' 'enhanced' 'paying' 'paid'], predicted=paid
question=['enhancing' 'enhanced' 'playing' 'played'], predicted=played
question=['enhancing' 'enhanced' 'selling' 'sold'], predicted=sold
question=['enhancing' 'enhanced' 'decreasing' 'decreased'], predicted=decreased
question=['falling' 'fell' 'flying' 'flew'], predicted=flew
question=['falling' 'fell' 'going' 'went'], predicted=went
question=['falling' 'fell' 'hitting' 'hit'], predicted=hit
question=['falling' 'fell' 'increasing' 'increased'], predicted=increased
question=['falling' 'fell' 'knowing' 'knew'], predicted=knew
question=['falling' 'fell' 'moving' 'moved'], predicted=moved
question=['falling' 'fell' 'paying' 'paid'], predicted=paid
question=['falling' 'fell' 'playing' 'played'], predicted=played
question=['falling' 'fell' 'running' 'ran'], predicted=ran
question=['falling' 'fell' 'selling' 'sold'], predicted=sold
question=['falling' 'fell' 'spending' 'spent'], predicted=spent
question=['falling' 'fell' 'taking' 'took'], predicted=took
question=['falling' 'fell' 'writing' 'wrote'], predicted=wrote
question=['feeding' 'fed' 'generating' 'generated'], predicted=generated
question=['feeding' 'fed' 'hitting' 'hit'], predicted=hit
question=['feeding' 'fed' 'implementing' 'implemented'], predicted=implemented
question=['feeding' 'fed' 'increasing' 'increased'], predicted=increased
question=['feeding' 'fed' 'knowing' 'knew'], predicted=knew
question=['feeding' 'fed' 'playing' 'played'], predicted=played
question=['feeding' 'fed' 'selling' 'sold'], predicted=sold
