question=['albania' 'albanian' 'australia' 'australian'], predicted=australian
question=['albania' 'albanian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['albania' 'albanian' 'chile' 'chilean'], predicted=chilean
question=['albania' 'albanian' 'china' 'chinese'], predicted=chinese
question=['albania' 'albanian' 'colombia' 'colombian'], predicted=colombian
question=['albania' 'albanian' 'croatia' 'croatian'], predicted=croatian
question=['albania' 'albanian' 'denmark' 'danish'], predicted=danish
question=['albania' 'albanian' 'egypt' 'egyptian'], predicted=egyptian
question=['albania' 'albanian' 'france' 'french'], predicted=french
question=['albania' 'albanian' 'germany' 'german'], predicted=german
question=['albania' 'albanian' 'iceland' 'icelandic'], predicted=icelandic
question=['albania' 'albanian' 'india' 'indian'], predicted=indian
question=['albania' 'albanian' 'ireland' 'irish'], predicted=irish
question=['albania' 'albanian' 'israel' 'israeli'], predicted=israeli
question=['albania' 'albanian' 'italy' 'italian'], predicted=italian
question=['albania' 'albanian' 'japan' 'japanese'], predicted=japanese
question=['albania' 'albanian' 'korea' 'korean'], predicted=korean
question=['albania' 'albanian' 'malta' 'maltese'], predicted=maltese
question=['albania' 'albanian' 'mexico' 'mexican'], predicted=mexican
question=['albania' 'albanian' 'netherlands' 'dutch'], predicted=dutch
question=['albania' 'albanian' 'norway' 'norwegian'], predicted=norwegian
question=['albania' 'albanian' 'peru' 'peruvian'], predicted=peruvian
question=['albania' 'albanian' 'poland' 'polish'], predicted=polish
question=['albania' 'albanian' 'portugal' 'portuguese'], predicted=portuguese
question=['albania' 'albanian' 'russia' 'russian'], predicted=russian
question=['albania' 'albanian' 'spain' 'spanish'], predicted=spanish
question=['albania' 'albanian' 'sweden' 'swedish'], predicted=swedish
question=['albania' 'albanian' 'switzerland' 'swiss'], predicted=swiss
question=['argentina' 'argentinean' 'brazil' 'brazilian'], predicted=brazilian
question=['argentina' 'argentinean' 'egypt' 'egyptian'], predicted=egyptian
question=['argentina' 'argentinean' 'japan' 'japanese'], predicted=japanese
question=['argentina' 'argentinean' 'netherlands' 'dutch'], predicted=dutch
question=['argentina' 'argentinean' 'norway' 'norwegian'], predicted=norwegian
question=['australia' 'australian' 'austria' 'austrian'], predicted=austrian
