question=['banana' 'bananas' 'bird' 'birds'], predicted=birds
question=['banana' 'bananas' 'building' 'buildings'], predicted=buildings
question=['banana' 'bananas' 'car' 'cars'], predicted=cars
question=['banana' 'bananas' 'cat' 'cats'], predicted=cats
question=['banana' 'bananas' 'color' 'colors'], predicted=colors
question=['banana' 'bananas' 'computer' 'computers'], predicted=computers
question=['banana' 'bananas' 'dog' 'dogs'], predicted=dogs
question=['banana' 'bananas' 'dream' 'dreams'], predicted=dreams
question=['banana' 'bananas' 'elephant' 'elephants'], predicted=elephants
question=['banana' 'bananas' 'finger' 'fingers'], predicted=fingers
question=['banana' 'bananas' 'goat' 'goats'], predicted=goats
question=['banana' 'bananas' 'hand' 'hands'], predicted=hands
question=['banana' 'bananas' 'horse' 'horses'], predicted=horses
question=['banana' 'bananas' 'machine' 'machines'], predicted=machines
question=['banana' 'bananas' 'man' 'men'], predicted=men
question=['banana' 'bananas' 'mouse' 'mice'], predicted=mice
question=['banana' 'bananas' 'pineapple' 'pineapples'], predicted=pineapples
question=['banana' 'bananas' 'road' 'roads'], predicted=roads
question=['bird' 'birds' 'building' 'buildings'], predicted=buildings
question=['bird' 'birds' 'car' 'cars'], predicted=cars
question=['bird' 'birds' 'cat' 'cats'], predicted=cats
question=['bird' 'birds' 'child' 'children'], predicted=children
question=['bird' 'birds' 'color' 'colors'], predicted=colors
question=['bird' 'birds' 'computer' 'computers'], predicted=computers
question=['bird' 'birds' 'dog' 'dogs'], predicted=dogs
question=['bird' 'birds' 'dream' 'dreams'], predicted=dreams
question=['bird' 'birds' 'finger' 'fingers'], predicted=fingers
question=['bird' 'birds' 'horse' 'horses'], predicted=horses
question=['bird' 'birds' 'man' 'men'], predicted=men
question=['bird' 'birds' 'mouse' 'mice'], predicted=mice
question=['bird' 'birds' 'road' 'roads'], predicted=roads
question=['bottle' 'bottles' 'building' 'buildings'], predicted=buildings
question=['bottle' 'bottles' 'car' 'cars'], predicted=cars
question=['bottle' 'bottles' 'child' 'children'], predicted=children
question=['bottle' 'bottles' 'cloud' 'clouds'], predicted=clouds
question=['bottle' 'bottles' 'color' 'colors'], predicted=colors
question=['bottle' 'bottles' 'computer' 'computers'], predicted=computers
question=['bottle' 'bottles' 'cow' 'cows'], predicted=cows
