question=['code' 'coding' 'describe' 'describing'], predicted=describing
question=['code' 'coding' 'fly' 'flying'], predicted=flying
question=['code' 'coding' 'generate' 'generating'], predicted=generating
question=['code' 'coding' 'implement' 'implementing'], predicted=implementing
question=['code' 'coding' 'look' 'looking'], predicted=looking
question=['code' 'coding' 'move' 'moving'], predicted=moving
question=['code' 'coding' 'play' 'playing'], predicted=playing
question=['code' 'coding' 'run' 'running'], predicted=running
question=['code' 'coding' 'shuffle' 'shuffling'], predicted=shuffling
question=['code' 'coding' 'sing' 'singing'], predicted=singing
question=['code' 'coding' 'sit' 'sitting'], predicted=sitting
question=['dance' 'dancing' 'enhance' 'enhancing'], predicted=enhancing
question=['dance' 'dancing' 'look' 'looking'], predicted=looking
question=['dance' 'dancing' 'play' 'playing'], predicted=playing
question=['dance' 'dancing' 'run' 'running'], predicted=running
question=['dance' 'dancing' 'shuffle' 'shuffling'], predicted=shuffling
question=['dance' 'dancing' 'sing' 'singing'], predicted=singing
question=['dance' 'dancing' 'sit' 'sitting'], predicted=sitting
question=['dance' 'dancing' 'walk' 'walking'], predicted=walking
question=['debug' 'debugging' 'describe' 'describing'], predicted=describing
question=['debug' 'debugging' 'enhance' 'enhancing'], predicted=enhancing
question=['debug' 'debugging' 'increase' 'increasing'], predicted=increasing
question=['debug' 'debugging' 'run' 'running'], predicted=running
question=['debug' 'debugging' 'say' 'saying'], predicted=saying
question=['decrease' 'decreasing' 'describe' 'describing'], predicted=describing
question=['decrease' 'decreasing' 'enhance' 'enhancing'], predicted=enhancing
question=['decrease' 'decreasing' 'increase' 'increasing'], predicted=increasing
question=['decrease' 'decreasing' 'move' 'moving'], predicted=moving
question=['decrease' 'decreasing' 'run' 'running'], predicted=running
question=['decrease' 'decreasing' 'sing' 'singing'], predicted=singing
question=['describe' 'describing' 'discover' 'discovering'], predicted=discovering
question=['describe' 'describing' 'enhance' 'enhancing'], predicted=enhancing
question=['describe' 'describing' 'generate' 'generating'], predicted=generating
question=['describe' 'describing' 'implement' 'implementing'], predicted=implementing
question=['describe' 'describing' 'move' 'moving'], predicted=moving
question=['describe' 'describing' 'play' 'playing'], predicted=playing
question=['describe' 'describing' 'run' 'running'], predicted=running
question=['describe' 'describing' 'say' 'saying'], predicted=saying
question=['describe' 'describing' 'sing' 'singing'], predicted=singing
question=['describe' 'describing' 'dance' 'dancing'], predicted=dancing
question=['describe' 'describing' 'debug' 'debugging'], predicted=debugging
question=['discover' 'discovering' 'enhance' 'enhancing'], predicted=enhancing
question=['discover' 'discovering' 'generate' 'generating'], predicted=generating
question=['discover' 'discovering' 'go' 'going'], predicted=going
question=['discover' 'discovering' 'run' 'running'], predicted=running
question=['discover' 'discovering' 'say' 'saying'], predicted=saying
question=['discover' 'discovering' 'write' 'writing'], predicted=writing
question=['discover' 'discovering' 'describe' 'describing'], predicted=describing
question=['enhance' 'enhancing' 'generate' 'generating'], predicted=generating
question=['enhance' 'enhancing' 'go' 'going'], predicted=going
question=['enhance' 'enhancing' 'implement' 'implementing'], predicted=implementing
question=['enhance' 'enhancing' 'move' 'moving'], predicted=moving
question=['enhance' 'enhancing' 'run' 'running'], predicted=running
question=['enhance' 'enhancing' 'say' 'saying'], predicted=saying
question=['enhance' 'enhancing' 'sit' 'sitting'], predicted=sitting
question=['enhance' 'enhancing' 'describe' 'describing'], predicted=describing
question=['enhance' 'enhancing' 'discover' 'discovering'], predicted=discovering
question=['fly' 'flying' 'generate' 'generating'], predicted=generating
question=['fly' 'flying' 'jump' 'jumping'], predicted=jumping
question=['fly' 'flying' 'look' 'looking'], predicted=looking
question=['fly' 'flying' 'move' 'moving'], predicted=moving
question=['fly' 'flying' 'play' 'playing'], predicted=playing
question=['fly' 'flying' 'sing' 'singing'], predicted=singing
question=['fly' 'flying' 'sit' 'sitting'], predicted=sitting
question=['fly' 'flying' 'walk' 'walking'], predicted=walking
question=['fly' 'flying' 'describe' 'describing'], predicted=describing
question=['fly' 'flying' 'enhance' 'enhancing'], predicted=enhancing
question=['generate' 'generating' 'go' 'going'], predicted=going
question=['generate' 'generating' 'look' 'looking'], predicted=looking
question=['generate' 'generating' 'move' 'moving'], predicted=moving
question=['generate' 'generating' 'play' 'playing'], predicted=playing
question=['generate' 'generating' 'run' 'running'], predicted=running
question=['generate' 'generating' 'sit' 'sitting'], predicted=sitting
question=['generate' 'generating' 'describe' 'describing'], predicted=describing
question=['generate' 'generating' 'discover' 'discovering'], predicted=discovering
question=['generate' 'generating' 'enhance' 'enhancing'], predicted=enhancing
question=['go' 'going' 'look' 'looking'], predicted=looking
question=['go' 'going' 'move' 'moving'], predicted=moving
question=['go' 'going' 'run' 'running'], predicted=running
question=['go' 'going' 'sit' 'sitting'], predicted=sitting
question=['go' 'going' 'dance' 'dancing'], predicted=dancing
question=['go' 'going' 'describe' 'describing'], predicted=describing
question=['go' 'going' 'discover' 'discovering'], predicted=discovering
question=['go' 'going' 'enhance' 'enhancing'], predicted=enhancing
question=['implement' 'implementing' 'look' 'looking'], predicted=looking
question=['implement' 'implementing' 'move' 'moving'], predicted=moving
question=['implement' 'implementing' 'run' 'running'], predicted=running
question=['implement' 'implementing' 'sit' 'sitting'], predicted=sitting
question=['implement' 'implementing' 'swim' 'swimming'], predicted=swimming
question=['implement' 'implementing' 'write' 'writing'], predicted=writing
question=['implement' 'implementing' 'dance' 'dancing'], predicted=dancing
question=['implement' 'implementing' 'describe' 'describing'], predicted=describing
question=['implement' 'implementing' 'enhance' 'enhancing'], predicted=enhancing
question=['implement' 'implementing' 'generate' 'generating'], predicted=generating
question=['implement' 'implementing' 'go' 'going'], predicted=going
question=['increase' 'increasing' 'look' 'looking'], predicted=looking
question=['increase' 'increasing' 'move' 'moving'], predicted=moving
question=['increase' 'increasing' 'play' 'playing'], predicted=playing
question=['increase' 'increasing' 'run' 'running'], predicted=running
question=['increase' 'increasing' 'sit' 'sitting'], predicted=sitting
question=['increase' 'increasing' 'swim' 'swimming'], predicted=swimming
question=['increase' 'increasing' 'decrease' 'decreasing'], predicted=decreasing
question=['increase' 'increasing' 'enhance' 'enhancing'], predicted=enhancing
question=['increase' 'increasing' 'implement' 'implementing'], predicted=implementing
question=['invent' 'inventing' 'move' 'moving'], predicted=moving
question=['invent' 'inventing' 'read' 'reading'], predicted=reading
question=['invent' 'inventing' 'sit' 'sitting'], predicted=sitting
question=['invent' 'inventing' 'describe' 'describing'], predicted=describing
