question=['apparent' 'apparently' 'efficient' 'efficiently'], predicted=efficiently
question=['apparent' 'apparently' 'occasional' 'occasionally'], predicted=occasionally
question=['apparent' 'apparently' 'rare' 'rarely'], predicted=rarely
question=['calm' 'calmly' 'typical' 'typically'], predicted=typically
question=['cheerful' 'cheerfully' 'free' 'freely'], predicted=freely
question=['complete' 'completely' 'slow' 'slowly'], predicted=slowly
question=['complete' 'completely' 'sudden' 'suddenly'], predicted=suddenly
question=['efficient' 'efficiently' 'free' 'freely'], predicted=freely
question=['efficient' 'efficiently' 'safe' 'safely'], predicted=safely
question=['efficient' 'efficiently' 'slow' 'slowly'], predicted=slowly
question=['fortunate' 'fortunately' 'typical' 'typically'], predicted=typically
question=['fortunate' 'fortunately' 'complete' 'completely'], predicted=completely
question=['fortunate' 'fortunately' 'efficient' 'efficiently'], predicted=efficiently
question=['free' 'freely' 'rare' 'rarely'], predicted=rarely
question=['free' 'freely' 'safe' 'safely'], predicted=safely
question=['free' 'freely' 'efficient' 'efficiently'], predicted=efficiently
question=['happy' 'happily' 'efficient' 'efficiently'], predicted=efficiently
question=['immediate' 'immediately' 'occasional' 'occasionally'], predicted=occasionally
question=['immediate' 'immediately' 'sudden' 'suddenly'], predicted=suddenly
question=['immediate' 'immediately' 'typical' 'typically'], predicted=typically
question=['infrequent' 'infrequently' 'rare' 'rarely'], predicted=rarely
question=['infrequent' 'infrequently' 'typical' 'typically'], predicted=typically
question=['infrequent' 'infrequently' 'free' 'freely'], predicted=freely
question=['lucky' 'luckily' 'typical' 'typically'], predicted=typically
question=['obvious' 'obviously' 'free' 'freely'], predicted=freely
question=['occasional' 'occasionally' 'precise' 'precisely'], predicted=precisely
question=['occasional' 'occasionally' 'rare' 'rarely'], predicted=rarely
question=['occasional' 'occasionally' 'typical' 'typically'], predicted=typically
question=['occasional' 'occasionally' 'complete' 'completely'], predicted=completely
question=['possible' 'possibly' 'apparent' 'apparently'], predicted=apparently
question=['possible' 'possibly' 'free' 'freely'], predicted=freely
question=['precise' 'precisely' 'typical' 'typically'], predicted=typically
question=['precise' 'precisely' 'efficient' 'efficiently'], predicted=efficiently
question=['precise' 'precisely' 'occasional' 'occasionally'], predicted=occasionally
question=['professional' 'professionally' 'typical' 'typically'], predicted=typically
question=['professional' 'professionally' 'efficient' 'efficiently'], predicted=efficiently
question=['quick' 'quickly' 'rapid' 'rapidly'], predicted=rapidly
question=['quick' 'quickly' 'slow' 'slowly'], predicted=slowly
question=['quick' 'quickly' 'sudden' 'suddenly'], predicted=suddenly
question=['quiet' 'quietly' 'slow' 'slowly'], predicted=slowly
question=['quiet' 'quietly' 'typical' 'typically'], predicted=typically
question=['quiet' 'quietly' 'efficient' 'efficiently'], predicted=efficiently
question=['quiet' 'quietly' 'free' 'freely'], predicted=freely
question=['rapid' 'rapidly' 'slow' 'slowly'], predicted=slowly
question=['rapid' 'rapidly' 'sudden' 'suddenly'], predicted=suddenly
question=['rapid' 'rapidly' 'quick' 'quickly'], predicted=quickly
question=['rare' 'rarely' 'typical' 'typically'], predicted=typically
question=['rare' 'rarely' 'precise' 'precisely'], predicted=precisely
question=['safe' 'safely' 'slow' 'slowly'], predicted=slowly
question=['safe' 'safely' 'typical' 'typically'], predicted=typically
question=['safe' 'safely' 'efficient' 'efficiently'], predicted=efficiently
question=['serious' 'seriously' 'efficient' 'efficiently'], predicted=efficiently
question=['slow' 'slowly' 'sudden' 'suddenly'], predicted=suddenly
question=['slow' 'slowly' 'precise' 'precisely'], predicted=precisely
question=['slow' 'slowly' 'quick' 'quickly'], predicted=quickly
question=['slow' 'slowly' 'rapid' 'rapidly'], predicted=rapidly
question=['slow' 'slowly' 'rare' 'rarely'], predicted=rarely
question=['sudden' 'suddenly' 'typical' 'typically'], predicted=typically
question=['sudden' 'suddenly' 'occasional' 'occasionally'], predicted=occasionally
question=['sudden' 'suddenly' 'quick' 'quickly'], predicted=quickly
question=['sudden' 'suddenly' 'rapid' 'rapidly'], predicted=rapidly
question=['sudden' 'suddenly' 'rare' 'rarely'], predicted=rarely
question=['sudden' 'suddenly' 'slow' 'slowly'], predicted=slowly
question=['swift' 'swiftly' 'typical' 'typically'], predicted=typically
question=['swift' 'swiftly' 'efficient' 'efficiently'], predicted=efficiently
question=['swift' 'swiftly' 'rapid' 'rapidly'], predicted=rapidly
question=['typical' 'typically' 'usual' 'usually'], predicted=usually
question=['typical' 'typically' 'precise' 'precisely'], predicted=precisely
question=['typical' 'typically' 'rare' 'rarely'], predicted=rarely
question=['unfortunate' 'unfortunately' 'efficient' 'efficiently'], predicted=efficiently
question=['usual' 'usually' 'typical' 'typically'], predicted=typically
