: city-in-state
 Chicago,n Illinois,n Houston,n Texas,n
 Chicago,n Illinois,n Philadelphia,n Pennsylvania,n
 Chicago,n Illinois,n Phoenix,n Arizona,n
 Chicago,n Illinois,n Dallas,n Texas,n
 Chicago,n Illinois,n Jacksonville,n Florida,n
 Chicago,n Illinois,n Indianapolis,n Indiana,n
 Chicago,n Illinois,n Austin,n Texas,n
 Chicago,n Illinois,n Detroit,n Michigan,n
 Chicago,n Illinois,n Memphis,n Tennessee,n
 Chicago,n Illinois,n Boston,n Massachusetts,n
 Chicago,n Illinois,n Seattle,n Washington,n
 Chicago,n Illinois,n Denver,n Colorado,n
 Chicago,n Illinois,n Baltimore,n Maryland,n
 Chicago,n Illinois,n Nashville,n Tennessee,n
 Chicago,n Illinois,n Louisville,n Kentucky,n
 Chicago,n Illinois,n Milwaukee,n Wisconsin,n
 Chicago,n Illinois,n Portland,n Oregon,n
 Chicago,n Illinois,n Tucson,n Arizona,n
 Chicago,n Illinois,n Fresno,n California,n
 Chicago,n Illinois,n Sacramento,n California,n
 Chicago,n Illinois,n Mesa,n Arizona,n
 Chicago,n Illinois,n Atlanta,n Georgia,n
 Chicago,n Illinois,n Omaha,n Nebraska,n
 Chicago,n Illinois,n Miami,n Florida,n
 Chicago,n Illinois,n Tulsa,n Oklahoma,n
 Chicago,n Illinois,n Oakland,n California,n
 Chicago,n Illinois,n Cleveland,n Ohio,n
 Chicago,n Illinois,n Minneapolis,n Minnesota,n
 Chicago,n Illinois,n Wichita,n Kansas,n
 Chicago,n Illinois,n Arlington,n Texas,n
 Chicago,n Illinois,n Bakersfield,n California,n
 Chicago,n Illinois,n Tampa,n Florida,n
 Chicago,n Illinois,n Anaheim,n California,n
 Chicago,n Illinois,n Honolulu,n Hawaii,n
 Chicago,n Illinois,n Pittsburgh,n Pennsylvania,n
 Chicago,n Illinois,n Lexington,n Kentucky,n
 Chicago,n Illinois,n Stockton,n California,n
 Chicago,n Illinois,n Cincinnati,n Ohio,n
 Chicago,n Illinois,n Anchorage,n Alaska,n
 Houston,n Texas,n Philadelphia,n Pennsylvania,n
 Houston,n Texas,n Phoenix,n Arizona,n
 Houston,n Texas,n Jacksonville,n Florida,n
 Houston,n Texas,n Indianapolis,n Indiana,n
 Houston,n Texas,n Detroit,n Michigan,n
 Houston,n Texas,n Memphis,n Tennessee,n
 Houston,n Texas,n Boston,n Massachusetts,n
 Houston,n Texas,n Seattle,n Washington,n
 Houston,n Texas,n Denver,n Colorado,n
 Houston,n Texas,n Baltimore,n Maryland,n
 Houston,n Texas,n Nashville,n Tennessee,n
 Houston,n Texas,n Louisville,n Kentucky,n
 Houston,n Texas,n Milwaukee,n Wisconsin,n
 Houston,n Texas,n Portland,n Oregon,n
 Houston,n Texas,n Tucson,n Arizona,n
 Houston,n Texas,n Fresno,n California,n
 Houston,n Texas,n Sacramento,n California,n
 Houston,n Texas,n Mesa,n Arizona,n
 Houston,n Texas,n Atlanta,n Georgia,n
 Houston,n Texas,n Omaha,n Nebraska,n
 Houston,n Texas,n Miami,n Florida,n
 Houston,n Texas,n Tulsa,n Oklahoma,n
 Houston,n Texas,n Oakland,n California,n
 Houston,n Texas,n Cleveland,n Ohio,n
 Houston,n Texas,n Minneapolis,n Minnesota,n
 Houston,n Texas,n Wichita,n Kansas,n
 Houston,n Texas,n Bakersfield,n California,n
 Houston,n Texas,n Tampa,n Florida,n
 Houston,n Texas,n Anaheim,n California,n
 Houston,n Texas,n Honolulu,n Hawaii,n
 Houston,n Texas,n Pittsburgh,n Pennsylvania,n
 Houston,n Texas,n Lexington,n Kentucky,n
 Houston,n Texas,n Stockton,n California,n
 Houston,n Texas,n Cincinnati,n Ohio,n
 Houston,n Texas,n Anchorage,n Alaska,n
 Houston,n Texas,n Toledo,n Ohio,n
 Philadelphia,n Pennsylvania,n Phoenix,n Arizona,n
 Philadelphia,n Pennsylvania,n Dallas,n Texas,n
 Philadelphia,n Pennsylvania,n Jacksonville,n Florida,n
 Philadelphia,n Pennsylvania,n Indianapolis,n Indiana,n
 Philadelphia,n Pennsylvania,n Austin,n Texas,n
 Philadelphia,n Pennsylvania,n Detroit,n Michigan,n
 Philadelphia,n Pennsylvania,n Memphis,n Tennessee,n
 Philadelphia,n Pennsylvania,n Boston,n Massachusetts,n
 Philadelphia,n Pennsylvania,n Seattle,n Washington,n
 Philadelphia,n Pennsylvania,n Denver,n Colorado,n
 Philadelphia,n Pennsylvania,n Baltimore,n Maryland,n
 Philadelphia,n Pennsylvania,n Nashville,n Tennessee,n
 Philadelphia,n Pennsylvania,n Louisville,n Kentucky,n
 Philadelphia,n Pennsylvania,n Milwaukee,n Wisconsin,n
 Philadelphia,n Pennsylvania,n Portland,n Oregon,n
 Philadelphia,n Pennsylvania,n Tucson,n Arizona,n
 Philadelphia,n Pennsylvania,n Fresno,n California,n
 Philadelphia,n Pennsylvania,n Sacramento,n California,n
 Philadelphia,n Pennsylvania,n Mesa,n Arizona,n
 Philadelphia,n Pennsylvania,n Atlanta,n Georgia,n
 Philadelphia,n Pennsylvania,n Omaha,n Nebraska,n
 Philadelphia,n Pennsylvania,n Miami,n Florida,n
 Philadelphia,n Pennsylvania,n Tulsa,n Oklahoma,n
 Philadelphia,n Pennsylvania,n Oakland,n California,n
 Philadelphia,n Pennsylvania,n Cleveland,n Ohio,n
 Philadelphia,n Pennsylvania,n Minneapolis,n Minnesota,n
 Philadelphia,n Pennsylvania,n Wichita,n Kansas,n
 Philadelphia,n Pennsylvania,n Arlington,n Texas,n
 Philadelphia,n Pennsylvania,n Bakersfield,n California,n
 Philadelphia,n Pennsylvania,n Tampa,n Florida,n
 Philadelphia,n Pennsylvania,n Anaheim,n California,n
 Philadelphia,n Pennsylvania,n Honolulu,n Hawaii,n
 Philadelphia,n Pennsylvania,n Lexington,n Kentucky,n
 Philadelphia,n Pennsylvania,n Stockton,n California,n
 Philadelphia,n Pennsylvania,n Cincinnati,n Ohio,n
 Philadelphia,n Pennsylvania,n Anchorage,n Alaska,n
 Philadelphia,n Pennsylvania,n Toledo,n Ohio,n
 Philadelphia,n Pennsylvania,n Plano,n Texas,n
 Phoenix,n Arizona,n Dallas,n Texas,n
 Phoenix,n Arizona,n Jacksonville,n Florida,n
 Phoenix,n Arizona,n Indianapolis,n Indiana,n
 Phoenix,n Arizona,n Austin,n Texas,n
 Phoenix,n Arizona,n Detroit,n Michigan,n
 Phoenix,n Arizona,n Memphis,n Tennessee,n
 Phoenix,n Arizona,n Boston,n Massachusetts,n
 Phoenix,n Arizona,n Seattle,n Washington,n
 Phoenix,n Arizona,n Denver,n Colorado,n
 Phoenix,n Arizona,n Baltimore,n Maryland,n
 Phoenix,n Arizona,n Nashville,n Tennessee,n
 Phoenix,n Arizona,n Louisville,n Kentucky,n
 Phoenix,n Arizona,n Milwaukee,n Wisconsin,n
 Phoenix,n Arizona,n Portland,n Oregon,n
 Phoenix,n Arizona,n Fresno,n California,n
 Phoenix,n Arizona,n Sacramento,n California,n
 Phoenix,n Arizona,n Atlanta,n Georgia,n
 Phoenix,n Arizona,n Omaha,n Nebraska,n
 Phoenix,n Arizona,n Miami,n Florida,n
 Phoenix,n Arizona,n Tulsa,n Oklahoma,n
 Phoenix,n Arizona,n Oakland,n California,n
 Phoenix,n Arizona,n Cleveland,n Ohio,n
 Phoenix,n Arizona,n Minneapolis,n Minnesota,n
 Phoenix,n Arizona,n Wichita,n Kansas,n
 Phoenix,n Arizona,n Arlington,n Texas,n
 Phoenix,n Arizona,n Bakersfield,n California,n
 Phoenix,n Arizona,n Tampa,n Florida,n
 Phoenix,n Arizona,n Anaheim,n California,n
 Phoenix,n Arizona,n Honolulu,n Hawaii,n
 Phoenix,n Arizona,n Pittsburgh,n Pennsylvania,n
 Phoenix,n Arizona,n Lexington,n Kentucky,n
 Phoenix,n Arizona,n Stockton,n California,n
 Phoenix,n Arizona,n Cincinnati,n Ohio,n
 Phoenix,n Arizona,n Anchorage,n Alaska,n
 Phoenix,n Arizona,n Toledo,n Ohio,n
 Phoenix,n Arizona,n Plano,n Texas,n
 Phoenix,n Arizona,n Henderson,n Nevada,n
 Dallas,n Texas,n Jacksonville,n Florida,n
 Dallas,n Texas,n Indianapolis,n Indiana,n
 Dallas,n Texas,n Detroit,n Michigan,n
