question=['algeria' 'dinar' 'angola' 'kwanza'], predicted=currency
question=['algeria' 'dinar' 'armenia' 'dram'], predicted=litas
question=['algeria' 'dinar' 'brazil' 'real'], predicted=peso
question=['algeria' 'dinar' 'bulgaria' 'lev'], predicted=serbia
question=['algeria' 'dinar' 'cambodia' 'riel'], predicted=sihamoni
question=['algeria' 'dinar' 'canada' 'dollar'], predicted=canadian
question=['algeria' 'dinar' 'croatia' 'kuna'], predicted=jelena
question=['algeria' 'dinar' 'denmark' 'krone'], predicted=sweden
question=['algeria' 'dinar' 'europe' 'euro'], predicted=economic
question=['algeria' 'dinar' 'hungary' 'forint'], predicted=bohemia
question=['algeria' 'dinar' 'india' 'rupee'], predicted=currency
question=['algeria' 'dinar' 'iran' 'rial'], predicted=iraq
question=['algeria' 'dinar' 'japan' 'yen'], predicted=japanese
question=['algeria' 'dinar' 'korea' 'won'], predicted=chungcheong
question=['algeria' 'dinar' 'lithuania' 'litas'], predicted=jogaila
question=['algeria' 'dinar' 'malaysia' 'ringgit'], predicted=singapore
question=['algeria' 'dinar' 'poland' 'zloty'], predicted=slovakia
question=['algeria' 'dinar' 'romania' 'leu'], predicted=slovakia
question=['algeria' 'dinar' 'russia' 'ruble'], predicted=nikolaevna
question=['algeria' 'dinar' 'sweden' 'krona'], predicted=norway
question=['algeria' 'dinar' 'usa' 'dollar'], predicted=johansson
question=['algeria' 'dinar' 'vietnam' 'dong'], predicted=vietnamization
question=['angola' 'kwanza' 'argentina' 'peso'], predicted=kwanzas
question=['angola' 'kwanza' 'armenia' 'dram'], predicted=hayastan
question=['angola' 'kwanza' 'brazil' 'real'], predicted=slovakia
question=['angola' 'kwanza' 'bulgaria' 'lev'], predicted=romania
question=['angola' 'kwanza' 'cambodia' 'riel'], predicted=theung
question=['angola' 'kwanza' 'canada' 'dollar'], predicted=ontario
question=['angola' 'kwanza' 'croatia' 'kuna'], predicted=slovenia
question=['angola' 'kwanza' 'denmark' 'krone'], predicted=norway
question=['angola' 'kwanza' 'europe' 'euro'], predicted=triumph
question=['angola' 'kwanza' 'hungary' 'forint'], predicted=austria
question=['angola' 'kwanza' 'india' 'rupee'], predicted=subhash
question=['angola' 'kwanza' 'iran' 'rial'], predicted=iranian
question=['angola' 'kwanza' 'japan' 'yen'], predicted=japanese
question=['angola' 'kwanza' 'korea' 'won'], predicted=korean
question=['angola' 'kwanza' 'lithuania' 'litas'], predicted=latvia
question=['angola' 'kwanza' 'malaysia' 'ringgit'], predicted=singapore
question=['angola' 'kwanza' 'mexico' 'peso'], predicted=cabos
question=['angola' 'kwanza' 'poland' 'zloty'], predicted=slovakia
question=['angola' 'kwanza' 'romania' 'leu'], predicted=ukraine
question=['angola' 'kwanza' 'russia' 'ruble'], predicted=romania
question=['angola' 'kwanza' 'sweden' 'krona'], predicted=karlsson
question=['angola' 'kwanza' 'usa' 'dollar'], predicted=republished
question=['angola' 'kwanza' 'vietnam' 'dong'], predicted=koruna
question=['angola' 'kwanza' 'algeria' 'dinar'], predicted=toast
question=['argentina' 'peso' 'armenia' 'dram'], predicted=dinar
question=['argentina' 'peso' 'brazil' 'real'], predicted=cruzeiro
question=['argentina' 'peso' 'bulgaria' 'lev'], predicted=forint
question=['argentina' 'peso' 'cambodia' 'riel'], predicted=tala
question=['argentina' 'peso' 'croatia' 'kuna'], predicted=dinar
question=['argentina' 'peso' 'denmark' 'krone'], predicted=norway
question=['argentina' 'peso' 'europe' 'euro'], predicted=economy
question=['argentina' 'peso' 'iran' 'rial'], predicted=persian
question=['argentina' 'peso' 'korea' 'won'], predicted=yen
question=['argentina' 'peso' 'lithuania' 'litas'], predicted=latvia
question=['argentina' 'peso' 'malaysia' 'ringgit'], predicted=brunei
question=['argentina' 'peso' 'poland' 'zloty'], predicted=polish
question=['argentina' 'peso' 'romania' 'leu'], predicted=lira
question=['argentina' 'peso' 'russia' 'ruble'], predicted=soviet
question=['argentina' 'peso' 'vietnam' 'dong'], predicted=tala
question=['argentina' 'peso' 'angola' 'kwanza'], predicted=xof
question=['armenia' 'dram' 'brazil' 'real'], predicted=janeiro
question=['armenia' 'dram' 'bulgaria' 'lev'], predicted=sluzhba
question=['armenia' 'dram' 'cambodia' 'riel'], predicted=khmer
question=['armenia' 'dram' 'canada' 'dollar'], predicted=canadian
question=['armenia' 'dram' 'croatia' 'kuna'], predicted=sta
question=['armenia' 'dram' 'denmark' 'krone'], predicted=danish
question=['armenia' 'dram' 'europe' 'euro'], predicted=fpu
question=['armenia' 'dram' 'hungary' 'forint'], predicted=risc
question=['armenia' 'dram' 'india' 'rupee'], predicted=rajkumar
question=['armenia' 'dram' 'iran' 'rial'], predicted=pipeline
question=['armenia' 'dram' 'japan' 'yen'], predicted=japanese
question=['armenia' 'dram' 'korea' 'won'], predicted=korean
question=['armenia' 'dram' 'lithuania' 'litas'], predicted=ltl
question=['armenia' 'dram' 'malaysia' 'ringgit'], predicted=singapore
question=['armenia' 'dram' 'mexico' 'peso'], predicted=sta
question=['armenia' 'dram' 'poland' 'zloty'], predicted=megabytes
question=['armenia' 'dram' 'romania' 'leu'], predicted=risc
question=['armenia' 'dram' 'russia' 'ruble'], predicted=imperial
question=['armenia' 'dram' 'sweden' 'krona'], predicted=stockholm
question=['armenia' 'dram' 'usa' 'dollar'], predicted=corp
question=['armenia' 'dram' 'vietnam' 'dong'], predicted=loin
question=['armenia' 'dram' 'algeria' 'dinar'], predicted=tchad
question=['armenia' 'dram' 'angola' 'kwanza'], predicted=synchronous
question=['armenia' 'dram' 'argentina' 'peso'], predicted=confederaci
question=['brazil' 'real' 'bulgaria' 'lev'], predicted=macedonia
question=['brazil' 'real' 'cambodia' 'riel'], predicted=actual
question=['brazil' 'real' 'canada' 'dollar'], predicted=estate
question=['brazil' 'real' 'croatia' 'kuna'], predicted=imaginary
question=['brazil' 'real' 'denmark' 'krone'], predicted=king
question=['brazil' 'real' 'europe' 'euro'], predicted=outside
question=['brazil' 'real' 'hungary' 'forint'], predicted=bohemia
question=['brazil' 'real' 'india' 'rupee'], predicted=actual
question=['brazil' 'real' 'iran' 'rial'], predicted=abu
question=['brazil' 'real' 'japan' 'yen'], predicted=complex
question=['brazil' 'real' 'korea' 'won'], predicted=actual
question=['brazil' 'real' 'lithuania' 'litas'], predicted=actual
question=['brazil' 'real' 'malaysia' 'ringgit'], predicted=complex
question=['brazil' 'real' 'mexico' 'peso'], predicted=estate
question=['brazil' 'real' 'poland' 'zloty'], predicted=polish
question=['brazil' 'real' 'romania' 'leu'], predicted=actual
question=['brazil' 'real' 'russia' 'ruble'], predicted=moscow
question=['brazil' 'real' 'sweden' 'krona'], predicted=king
question=['brazil' 'real' 'usa' 'dollar'], predicted=outside
question=['brazil' 'real' 'vietnam' 'dong'], predicted=actual
question=['brazil' 'real' 'algeria' 'dinar'], predicted=sudanese
question=['brazil' 'real' 'angola' 'kwanza'], predicted=complex
question=['brazil' 'real' 'argentina' 'peso'], predicted=positive
question=['brazil' 'real' 'armenia' 'dram'], predicted=imaginary
question=['bulgaria' 'lev' 'cambodia' 'riel'], predicted=sabra
question=['bulgaria' 'lev' 'canada' 'dollar'], predicted=ted
question=['bulgaria' 'lev' 'croatia' 'kuna'], predicted=sam
question=['bulgaria' 'lev' 'denmark' 'krone'], predicted=sweden
question=['bulgaria' 'lev' 'europe' 'euro'], predicted=frame
question=['bulgaria' 'lev' 'hungary' 'forint'], predicted=hungarian
question=['bulgaria' 'lev' 'india' 'rupee'], predicted=rajkumar
question=['bulgaria' 'lev' 'iran' 'rial'], predicted=iranian
question=['bulgaria' 'lev' 'japan' 'yen'], predicted=japanese
question=['bulgaria' 'lev' 'korea' 'won'], predicted=kim
question=['bulgaria' 'lev' 'lithuania' 'litas'], predicted=lithuanian
question=['bulgaria' 'lev' 'malaysia' 'ringgit'], predicted=rajkumar
question=['bulgaria' 'lev' 'mexico' 'peso'], predicted=ted
question=['bulgaria' 'lev' 'poland' 'zloty'], predicted=polish
question=['bulgaria' 'lev' 'romania' 'leu'], predicted=romanian
question=['bulgaria' 'lev' 'russia' 'ruble'], predicted=russian
question=['bulgaria' 'lev' 'sweden' 'krona'], predicted=swedish
question=['bulgaria' 'lev' 'usa' 'dollar'], predicted=sam
question=['bulgaria' 'lev' 'vietnam' 'dong'], predicted=kim
question=['bulgaria' 'lev' 'algeria' 'dinar'], predicted=tunisia
question=['bulgaria' 'lev' 'angola' 'kwanza'], predicted=angolan
question=['bulgaria' 'lev' 'argentina' 'peso'], predicted=buenos
question=['bulgaria' 'lev' 'armenia' 'dram'], predicted=kohn
question=['bulgaria' 'lev' 'brazil' 'real'], predicted=brazilian
question=['cambodia' 'riel' 'canada' 'dollar'], predicted=ontario
question=['cambodia' 'riel' 'croatia' 'kuna'], predicted=slovakia
question=['cambodia' 'riel' 'denmark' 'krone'], predicted=sweden
question=['cambodia' 'riel' 'europe' 'euro'], predicted=european
question=['cambodia' 'riel' 'hungary' 'forint'], predicted=poland
question=['cambodia' 'riel' 'india' 'rupee'], predicted=gandhi
question=['cambodia' 'riel' 'iran' 'rial'], predicted=iraq
question=['cambodia' 'riel' 'japan' 'yen'], predicted=smith
question=['cambodia' 'riel' 'korea' 'won'], predicted=koreans
question=['cambodia' 'riel' 'lithuania' 'litas'], predicted=jogaila
question=['cambodia' 'riel' 'malaysia' 'ringgit'], predicted=francaise
question=['cambodia' 'riel' 'mexico' 'peso'], predicted=mexican
question=['cambodia' 'riel' 'poland' 'zloty'], predicted=polish
question=['cambodia' 'riel' 'romania' 'leu'], predicted=romanian
question=['cambodia' 'riel' 'russia' 'ruble'], predicted=tsar
question=['cambodia' 'riel' 'sweden' 'krona'], predicted=swedish
question=['cambodia' 'riel' 'usa' 'dollar'], predicted=smith
question=['cambodia' 'riel' 'vietnam' 'dong'], predicted=troops
question=['cambodia' 'riel' 'algeria' 'dinar'], predicted=algerian
question=['cambodia' 'riel' 'angola' 'kwanza'], predicted=angolan
question=['cambodia' 'riel' 'argentina' 'peso'], predicted=argentine
question=['cambodia' 'riel' 'armenia' 'dram'], predicted=hayastan
question=['cambodia' 'riel' 'brazil' 'real'], predicted=pessoa
question=['cambodia' 'riel' 'bulgaria' 'lev'], predicted=bulgarian
question=['canada' 'dollar' 'croatia' 'kuna'], predicted=forint
question=['canada' 'dollar' 'denmark' 'krone'], predicted=currency
question=['canada' 'dollar' 'india' 'rupee'], predicted=currency
question=['canada' 'dollar' 'iran' 'rial'], predicted=iraq
question=['canada' 'dollar' 'japan' 'yen'], predicted=currency
question=['canada' 'dollar' 'korea' 'won'], predicted=yen
question=['canada' 'dollar' 'malaysia' 'ringgit'], predicted=currency
question=['canada' 'dollar' 'poland' 'zloty'], predicted=forint
question=['canada' 'dollar' 'romania' 'leu'], predicted=lira
question=['canada' 'dollar' 'sweden' 'krona'], predicted=currency
question=['canada' 'dollar' 'vietnam' 'dong'], predicted=convertibility
question=['canada' 'dollar' 'algeria' 'dinar'], predicted=forint
question=['canada' 'dollar' 'angola' 'kwanza'], predicted=angolan
question=['canada' 'dollar' 'armenia' 'dram'], predicted=forint
question=['canada' 'dollar' 'brazil' 'real'], predicted=peso
question=['canada' 'dollar' 'bulgaria' 'lev'], predicted=forint
question=['canada' 'dollar' 'cambodia' 'riel'], predicted=pataca
question=['croatia' 'kuna' 'denmark' 'krone'], predicted=danish
question=['croatia' 'kuna' 'europe' 'euro'], predicted=markets
question=['croatia' 'kuna' 'hungary' 'forint'], predicted=corvinus
question=['croatia' 'kuna' 'india' 'rupee'], predicted=indian
question=['croatia' 'kuna' 'iran' 'rial'], predicted=persian
question=['croatia' 'kuna' 'japan' 'yen'], predicted=monogatari
question=['croatia' 'kuna' 'korea' 'won'], predicted=korean
question=['croatia' 'kuna' 'lithuania' 'litas'], predicted=ltl
question=['croatia' 'kuna' 'malaysia' 'ringgit'], predicted=singapore
question=['croatia' 'kuna' 'mexico' 'peso'], predicted=cabos
question=['croatia' 'kuna' 'poland' 'zloty'], predicted=kazimierz
question=['croatia' 'kuna' 'romania' 'leu'], predicted=moored
question=['croatia' 'kuna' 'russia' 'ruble'], predicted=tsar
question=['croatia' 'kuna' 'sweden' 'krona'], predicted=gunnar
question=['croatia' 'kuna' 'usa' 'dollar'], predicted=portland
question=['croatia' 'kuna' 'vietnam' 'dong'], predicted=containment
question=['croatia' 'kuna' 'algeria' 'dinar'], predicted=dirham
question=['croatia' 'kuna' 'angola' 'kwanza'], predicted=quetzal
question=['croatia' 'kuna' 'argentina' 'peso'], predicted=juan
question=['croatia' 'kuna' 'armenia' 'dram'], predicted=persia
question=['croatia' 'kuna' 'brazil' 'real'], predicted=janeiro
question=['croatia' 'kuna' 'bulgaria' 'lev'], predicted=moored
question=['croatia' 'kuna' 'cambodia' 'riel'], predicted=khmer
question=['croatia' 'kuna' 'canada' 'dollar'], predicted=canadian
question=['denmark' 'krone' 'europe' 'euro'], predicted=european
question=['denmark' 'krone' 'hungary' 'forint'], predicted=hungarian
question=['denmark' 'krone' 'india' 'rupee'], predicted=nehru
question=['denmark' 'krone' 'iran' 'rial'], predicted=iranian
question=['denmark' 'krone' 'japan' 'yen'], predicted=japanese
question=['denmark' 'krone' 'korea' 'won'], predicted=korean
question=['denmark' 'krone' 'lithuania' 'litas'], predicted=moldova
question=['denmark' 'krone' 'malaysia' 'ringgit'], predicted=singapore
question=['denmark' 'krone' 'mexico' 'peso'], predicted=mexican
question=['denmark' 'krone' 'poland' 'zloty'], predicted=polish
question=['denmark' 'krone' 'romania' 'leu'], predicted=romanian
question=['denmark' 'krone' 'russia' 'ruble'], predicted=soviet
question=['denmark' 'krone' 'sweden' 'krona'], predicted=dkr
question=['denmark' 'krone' 'usa' 'dollar'], predicted=mullin
question=['denmark' 'krone' 'vietnam' 'dong'], predicted=standoff
question=['denmark' 'krone' 'algeria' 'dinar'], predicted=rupee
question=['denmark' 'krone' 'angola' 'kwanza'], predicted=angolan
question=['denmark' 'krone' 'argentina' 'peso'], predicted=argentine
question=['denmark' 'krone' 'armenia' 'dram'], predicted=azerbaijan
question=['denmark' 'krone' 'brazil' 'real'], predicted=janeiro
question=['denmark' 'krone' 'bulgaria' 'lev'], predicted=bulgarian
question=['denmark' 'krone' 'cambodia' 'riel'], predicted=khmer
question=['denmark' 'krone' 'canada' 'dollar'], predicted=centavos
question=['denmark' 'krone' 'croatia' 'kuna'], predicted=slovenia
question=['europe' 'euro' 'iran' 'rial'], predicted=rupee
question=['europe' 'euro' 'japan' 'yen'], predicted=currency
question=['europe' 'euro' 'korea' 'won'], predicted=korean
question=['europe' 'euro' 'malaysia' 'ringgit'], predicted=brunei
question=['europe' 'euro' 'poland' 'zloty'], predicted=polish
question=['europe' 'euro' 'romania' 'leu'], predicted=romanian
question=['europe' 'euro' 'sweden' 'krona'], predicted=currency
question=['europe' 'euro' 'usa' 'dollar'], predicted=franc
question=['europe' 'euro' 'vietnam' 'dong'], predicted=escudo
question=['europe' 'euro' 'algeria' 'dinar'], predicted=franc
question=['europe' 'euro' 'angola' 'kwanza'], predicted=angolan
question=['europe' 'euro' 'armenia' 'dram'], predicted=litas
question=['europe' 'euro' 'brazil' 'real'], predicted=escudo
question=['europe' 'euro' 'bulgaria' 'lev'], predicted=franc
question=['europe' 'euro' 'cambodia' 'riel'], predicted=franc
question=['europe' 'euro' 'canada' 'dollar'], predicted=franc
question=['europe' 'euro' 'croatia' 'kuna'], predicted=franc
question=['europe' 'euro' 'denmark' 'krone'], predicted=currency
question=['hungary' 'forint' 'india' 'rupee'], predicted=huf
question=['hungary' 'forint' 'iran' 'rial'], predicted=iraq
question=['hungary' 'forint' 'japan' 'yen'], predicted=jpy
question=['hungary' 'forint' 'korea' 'won'], predicted=jpy
question=['hungary' 'forint' 'malaysia' 'ringgit'], predicted=brunei
question=['hungary' 'forint' 'poland' 'zloty'], predicted=huf
question=['hungary' 'forint' 'romania' 'leu'], predicted=huf
question=['hungary' 'forint' 'sweden' 'krona'], predicted=huf
question=['hungary' 'forint' 'vietnam' 'dong'], predicted=vietnamization
question=['hungary' 'forint' 'algeria' 'dinar'], predicted=dirham
question=['hungary' 'forint' 'angola' 'kwanza'], predicted=mozambique
question=['hungary' 'forint' 'armenia' 'dram'], predicted=ruble
question=['hungary' 'forint' 'brazil' 'real'], predicted=piau
question=['hungary' 'forint' 'bulgaria' 'lev'], predicted=huf
question=['hungary' 'forint' 'cambodia' 'riel'], predicted=ringgit
question=['hungary' 'forint' 'croatia' 'kuna'], predicted=convertible
question=['hungary' 'forint' 'denmark' 'krone'], predicted=huf
question=['hungary' 'forint' 'europe' 'euro'], predicted=markets
question=['india' 'rupee' 'iran' 'rial'], predicted=iraq
question=['india' 'rupee' 'japan' 'yen'], predicted=jpy
question=['india' 'rupee' 'korea' 'won'], predicted=jpy
question=['india' 'rupee' 'lithuania' 'litas'], predicted=latvia
question=['india' 'rupee' 'malaysia' 'ringgit'], predicted=pataca
question=['india' 'rupee' 'poland' 'zloty'], predicted=polish
question=['india' 'rupee' 'romania' 'leu'], predicted=ruble
